LEA_NAME,LEAID,STATENAME,query_url
Madison City,100008,ALABAMA,
Trussville City,100013,ALABAMA,
Alabama School of Fine Arts,100018,ALABAMA,
Andalusia City,100060,ALABAMA,
JF Ingram State Technical College,100176,ALABAMA,
Legacy Prep,100201,ALABAMA,
LIFE Academy,100207,ALABAMA,
Chambers County,100600,ALABAMA,
Clarke County,100720,ALABAMA,
Cleburne County,100780,ALABAMA,
Colbert County,100840,ALABAMA,
Conecuh County,100870,ALABAMA,
Coosa County,100900,ALABAMA,
Cullman City,100990,ALABAMA,
Daleville City,101080,ALABAMA,
DeKalb County,101140,ALABAMA,
Demopolis City,101200,ALABAMA,
Dothan City,101230,ALABAMA,
Eufaula City,101410,ALABAMA,
Fort Payne City,101560,ALABAMA,
Greene County,101680,ALABAMA,
Guntersville City,101690,ALABAMA,
Homewood City,101760,ALABAMA,
Huntsville City,101800,ALABAMA,
Linden City,102130,ALABAMA,
Macon County,102190,ALABAMA,
Marengo County,102250,ALABAMA,
Midfield City,102350,ALABAMA,
Opp City,102610,ALABAMA,
Roanoke City,102850,ALABAMA,
Sumter County,103090,ALABAMA,
Sylacauga City,103120,ALABAMA,
Tuscumbia City,103420,ALABAMA,
Walker County,103450,ALABAMA,
Winston County,103580,ALABAMA,
Floretta P Carson Visual and Performing Arts,103586,ALABAMA,
Aleutian Region School District,200010,ALASKA,
Alaska Gateway School District,200050,ALASKA,
Craig City School District,200090,ALASKA,
Anchorage School District,200180,ALASKA,
Juneau Borough School District,200210,ALASKA,
Kenai Peninsula Borough School District,200390,ALASKA,
Kodiak Island Borough School District,200480,ALASKA,
Fairbanks North Star Borough School District,200600,ALASKA,
Valdez City School District,200780,ALASKA,
Chugach School District,200800,ALASKA,
Chino Valley Unified District (4474),400003,ARIZONA,
Clarkdale-Jerome Elementary District (4486),400004,ARIZONA,
Salome Consolidated Elementary District (4514),400005,ARIZONA,
Flagstaff Montessori (4205),400020,ARIZONA,
Heber-Overgaard Unified District (4392),400026,ARIZONA,
Triumphant Learning Center (4225),400028,ARIZONA,
Ridgeline Academy Inc. (4301),400031,ARIZONA,
The Boys & Girls Clubs of the Valley (4305),400033,ARIZONA,
