title_1,school_district,address,index
Quality to the Core,Central Dauphin School District,,21
Kansas Turnpike Authority,,"9401 E Kellogg | Wichita, KS 67207 | (316) 682-4537",152
#AP_EveryStudentEveryDay,Welcome to Averill Park Central School District,,451
Village of South Elgin,,"10 N. Water Street South Elgin, IL 60177-1602 | 847-742-5780",544
NEOLA policies,Ontonagon Area School District,,570
Board of Supervisors,,"755 Roanoke St. Ste. 2E | Christiansburg, VA 24073 | (540) 382-6954 | f (540) 382-6943",582
Public School Teachers' Pension and Retirement Fund of Chicago,,"425 S Financial Place, Suite 1400, Chicago, IL 60605 | 312-604-1400",609
Bay-Arenac Community High School,,"805 Langstaff St, Essexville, MI 48732",621
Port of Los Angeles High School,,"250 West 5th St., San Pedro, CA 90731",626
McComb Local School,,,634
"City of Elmhurst, IL",,"209 N. York St | Elmhurst, IL 60126 | P (630) 530-3000",637
Southeast Florida Behavioral Health Network,,"8895 N Military Trail, Suite E-102 | Palm Beach Gardens, FL 33410 | (561) 203-2485",653
"City of Manchester, Iowa",,"208 E Main Street  | Manchester, IA 52057-1797 | 563-927-3636",654
Livingston Classical Academy,,"8877 Main St., Whitmore Lake, MI 48189 Phone: 734-449-2052",657
Benjamin Banneker Preparatory Charter,,"1900 Mount Holly Road 3C Burlington, NJ 08016",681
Pioneer Library System,,"300 Norman Center Court  | Norman, OK 73072 | 405.801.4500",697
Franklin Square Union Free School,,760 Washington Street | Franklin Square NY 11010 | 516-481-4100 | f 516-505-6972,702
Educating for Life's Journey,DELAWARE VALLEY SCHOOL DISTRICT,,713
City of Sault Ste Marie Michigan,,"225 East Portage Avenue, Sault Ste Marie, MI 49783 | 906-632-5715",728
Invest Atlanta,,"133 Peachtree Street, Suite 2900 | Atlanta, GA 30303 | p 404.880.4100 | f 404.880.9333",789
Town of Topsfield MA,,"8 West Common Street, Topsfield MA 01983",790
Home of the Panthers,,"405 East Hamlin Street, West Salem, WI 54669 - Phone 608-786-0700",791
Ohio Housing Finance Agency,,"2600 Corporate Exchange Drive, Suite 300, Columbus, OH 43231  Toll Free 888.362.6432  Fax 614.644.5393",809
"Silver Spring Township, Pennsylvania",,"8 Flowers Drive Mechanicsburg, PA 17050 Ph: 717-766-0178 FX: 717-766-1696",843
Home of the Mighty Massasaugas,,100 Sioux Avenue] P. O. Box 876] Pointe aux Pins MI 49775]Phone 231-634-7225,845
Neola Board of Education Policies,Moran Township School District,,858
Oakland Academy,,"6325 Oakland Drive, Portage, MI 49024",860
Temecula International Academy,,"39600 N General Kearny Rd, Temecula, CA 92591 | 951-816-5506",863
Harriet Tubman Village Charter School,,"6880 Mohawk Street, San Diego, CA 92115",892
Universal Academy,,"4833 Ogden St, Detroit, MI 48210 Phone: (313) 581-5006",902
Cincinnati & Hamilton County Public Library,,"800 Vine Street | Cincinnati, OH 45202-2009 | 513-369-6900",905
"Redlands Christian Migrant Association, Inc. (RCMA)",,"402 West Main Street | Immokalee, FL 34142-3933 | p (800) 282-6540  | f (239) 658-3571",926
Landmark Academy,,"4864 Lapeer Rd., Kimball, MI 48074 Phone: 810-982-7210",932
Texas Alcoholic Beverage Commission,,"5806 Mesa Drive, Austin, Texas 78731 | 512-206-3333",963
Global Tech Academy,,"1715 E Forest Ave, Ypsilanti, MI 48198 Phone: (734) 390-9625",966
"City of Worland, Wyoming",,"829 Big Horn Avenue | Worland, Wyoming 82401 | 307-347-2486 } f 307-347-2480",975
Bradford Academy,,"24218 Garner Street, Southfield, MI 48033 Phone: (248) 351-0000",981
"City of Kingfisher, Oklahoma",,"301 North Main Street | Kingfisher, Oklahoma 73750 | (405) 375-3705",1005
Central Academy,,"2459 S. Industrial Highway, Ann Arbor, MI 48104 Phone: (734) 822-1100",1007
Lakewood School Board Policies,Twin Lakes School District #4,,1022
Mount Vernon Public Library,,"28 South First Avenue | Mount Vernon, New York 10550 | (914) 668-1840",1025
The Township of Randolph,,"502 Millbrook Ave | Randolph, NJ 07869-3799 | Ph: 973.989.7100 | Fx: 973.989.7076",1030
Newfield Central School,,"247 Main Street | Newfield, NY 14867 | (607) 564-9955",1044
Esperanza Academy Charter School,,"4261 N 5th St Philadelphia, PA 19140 | (267) 270-4044",1053
"City of Klamath Falls, Oregon",,"500 Klamath Avenue | Klamath Falls, OR 97601 | (541) 883-5325",1067
Big Bay de Noc School,,,1072
Lafayette Elementary,,"3477 School Street, Lafayette, California 94549 | (925) 927-3500",1074
Innocademy,,"8485 Homestead, Zeeland, MI 49464 Phone: 616-748-5637",1088
Florida Virtual School,,"Suite 201| 5422 Carrier Drive | Orlando, FL  32835 | Ph: 407.513.3305",1101
Lake Geneva-Genoa City Union (Badger) High School,,"208 E. South Street, Lake Geneva, WI 53147 | Phone 262-348-1000",1104
BOARDDOCS,SCHOOL DISTRICT OF KETTLE MORAINE,,1139
Albany Public Library NY,,,1146
Mission Valley ROP,,"5019 Stevenson Blvd  Fremont, CA 94538 | Phone: (510) 657-1865",1156
College of Marin,,"835 College Avenue | Kentfield, CA 94904 | 415.457.8811",1159
Jefferson College,,"1000 Viking Drive | Hillsboro, MO 63050 | 636-481-3000 | 636-797-3000",1174
City of Bridgeport,,"515 W. Main St. | Bridgeport, WV 26330 | (304) 842-8200",1181
Policy Manual and Board Meetings,,,1183
Delaware Area Career Center,,"4565 Columbus Pike | Delaware, OH 43015 | 740-548-0708",1184
iSTEM,,"1800 Mentor Avenue Painesville, OH 44077",1198
Baldy View Regional Occupational Program,,"1501 S. Bon View Avenue Ontario, CA 91761",1202
Mt. San Antonio Community College District,,"1100 N. Grand Ave. | Walnut, CA 91789 | (909) 274-7500",1206
Home of the Bluejays!,,"1111 North Sales Street, Merrill  WI  54452",1213
City of Sachse,,"3815-B Sachse Road Sachse, TX 75048 | 972.495.1212",1219
City of Brooklyn,,"8000 Memphis Avenue, Brooklyn, Ohio 44144 | 216-351-2133",1228
School Board Information and Policy Manual,Shanksville-Stonycreek School District,,1236
"City of Raleigh, North Carolina",,"222 W. Hargett St.  Raleigh, NC 27601",1245
Columbiana County Career and Technical Center,,"9364 State Route 45 | Lisbon, OH 44432 | 330-424-9561",1246
Ohio Hi-Point Career Center,,,1289
Yosemite Community College District,,"2201 Blue Gum Avenue | Modesto, California 95358 | (209) 575-6509",1316
Pasadena City College,,"1570 E. Colorado Blvd | Pasadena, CA 91106 | (626) 585-7123",1319
Northumberland County Career and Technology Center,,"1700 West Montgomery Street, Suite 2000, Coal Township, PA 17866   570.644-0304",1350
Arkansas Tech University,,"1509 North Boulder Avenue | Russellville, AR 72801",1353
Compton Community College District,,"1111 E. Artesia Blvd. | Compton, CA 90221",1357
Central PA Digital Learning Foundation,,"5580 Goods Lane Suite 1132 Altoona, PA 16602 | 814-682-5258",1359
Cobre Valley Institute of Technology,,"1500 W. Panther Dr., Bld 3, Rm 206, Superior, AZ 85173 | (928) 542.9640 Mailing Address PO Box 176, Superior, AZ 85173",1367
"Town of Hadley, Massachusetts",,"100 Middle Street | Hadley, MA 01035 | (413) 586-0221 | f 413-586-5661",1371
Learning for Life,,LSR-7,1386
Tolles Career & Technical Center,,"7877 US Highway 42 S, Plain City OH USA 43064 | 614-873-4666",1400
"City of Lennox, South Dakota",,"107 South Main Street | Lennox, South Dakota 57039 | 605-647-2286 | f 605-647-2281",1403
Kansas City Public School Retirement System,,"3100 Broadway Street, Suite 1211, Kansas City, MO 64111",1423
"City of Brentwood, MO",,"2348 S. Brentwood Brentwood Blvd, MO 63144 | (314) 962-4800",1449
"Preparing Students for Career, College and Community",,"210 NE Duval Avenue Madison, Florida 32340 - Phone: 850-973-5022",1455
Anderson Valley Unified,,"12300 Anderson Valley Way, Boonville, CA 94515 • 707.895.3774 • f 707.895.2665",1469
"SOARING FORWARD TO EXPLORE, CHALLENGE, AND SUCCEED",,"701 Clay Avenue, Tyrone PA 16686     Phone:  (814) 684-0710",1551
"Town of Maynard, Massachusetts",,"195 Main Street | Maynard, MA 01754 | 978-897-1301 | f 978-897-8457",1697
"The Town of Taos, New Mexico",,"400 Camino de la Placita | Taos, N.M. 87571 | (575) 751-2000 | f (575) 751-2026",1704
NEOLA Policy,Michigan Center School District,,1756
Cameron Board Policy,,,1775
"JCS, Inc.",,"P.O. Box 2470/1704 Cape Horn Ave, CA Julian, CA 92036 | (760) 765-5500 X 101005",1797
Bensenville Park District,,"1000 W. Wood Ave | Bensenville, Illinois 60106 | 630-766-7015",1807
Everett Public Schools Board of Directors,,,1811
Yuba County Water Agency,,"1220 F Street (F&13th Street) | Marysville, CA 95901 | 530.741.5000 | f 530.741.6541",1872
,Newton Public Schools Unified School District #373 KS,"308 East 1st Street, Newton, KS 67114 | (316) 284-6200",1882
