index,action
21,school_district
152,drop
451,school_district
544,drop
570,school_district
582,drop
609,drop
621,school_district
626,drop
634,drop
637,drop
653,drop
654,drop
657,drop
681,drop
697,drop
702,drop
713,school_district
728,drop
789,drop
790,drop
791,drop
809,drop
843,drop
845,drop
858,school_district
860,drop
863,drop
892,drop
902,drop
905,drop
926,drop
932,drop
963,drop
966,school_district
975,drop
981,drop
1005,drop
1007,drop
1022,school_district
1025,drop
1030,drop
1044,drop
1053,drop
1067,drop
1072,drop
1074,drop
1088,drop
1101,drop
1104,drop
1139,school_district
1146,drop
1156,drop
1159,drop
1174,drop
1181,drop
1183,drop
1184,drop
1198,drop
1202,school_district
1206,school_district
1213,drop
1219,drop
1228,drop
1236,school_district
1245,drop
1246,drop
1289,drop
1316,school_district
1319,drop
1350,drop
1353,drop
1357,school_district
1359,drop
1367,drop
1371,drop
1386,drop
1400,drop
1403,drop
1423,drop
1449,drop
1455,drop
1469,school_district
1551,drop
1697,drop
1704,drop
1756,school_district
1775,drop
1797,drop
1807,drop
1811,school_district
1872,drop
1882,school_district
1886,drop
1932,school_district
1947,school_district
1975,drop
2148,school_district
2156,drop
2190,school_district
2222,drop
2237,school_district
2264,drop
2270,drop
2342,school_district
2355,drop
2356,drop
2417,school_district
2443,school_district
2457,drop
2478,drop
2540,school_district
2570,school_district
2589,drop
2612,drop
2619,drop
2633,drop
2643,drop
2644,school_district
2663,drop
2676,drop
2684,school_district
2685,drop
2699,drop
2700,school_district
2711,drop
2712,drop
2720,drop
2724,drop
2743,school_district
2770,drop
2772,school_district
2777,school_district
2779,drop
2791,drop
2803,drop
2805,school_district
2810,drop
2861,school_district
2878,drop
2886,school_district
2889,drop
2902,drop
2919,school_district
2923,drop
2931,drop
2942,drop
2966,school_district
2975,drop
2994,school_district
2999,school_district
3009,drop
3018,drop
3019,drop
3020,school_district
3022,school_district
3026,school_district
3029,drop
3032,school_district
3035,drop
3043,school_district
3046,drop
3057,drop
3061,drop
3076,drop
3083,school_district
3084,school_district
3087,school_district
3088,school_district
3089,school_district
3130,school_district
3132,school_district
3133,school_district
3134,school_district
3140,school_district
3141,school_district
3144,school_district
3145,school_district
3146,school_district
3149,school_district
3150,school_district
3152,school_district
3155,school_district
3156,school_district
3157,school_district
3160,school_district
3163,school_district
3164,school_district
3165,school_district
3167,school_district
3169,school_district
3170,school_district
3171,school_district
3174,school_district
3176,school_district
3178,school_district
3180,school_district
3183,school_district
3186,school_district
3187,school_district
3190,school_district
3191,school_district
3195,drop
3196,drop
3201,school_district
3203,school_district
3205,school_district
3210,school_district
3211,school_district
3213,school_district
3214,drop
3216,school_district
3217,school_district
3220,school_district
3221,school_district
3222,school_district
3224,school_district
3226,school_district
3231,school_district
3232,school_district
3233,school_district
3237,school_district
3238,school_district
3239,school_district
3240,school_district
3243,school_district
3244,school_district
3248,school_district
3249,drop
3251,school_district
3252,school_district
3254,school_district
3255,school_district
3256,school_district
3257,school_district
3258,school_district
3259,school_district
3260,school_district
3263,school_district
3266,school_district
3269,school_district
3272,school_district
3274,school_district
3275,school_district
3276,school_district
3277,school_district
3279,school_district
3280,school_district
3281,school_district
3290,school_district
3301,drop
3304,school_district
3305,school_district
3307,school_district
3308,school_district
3311,school_district
3318,drop
3322,school_district
3323,school_district
3324,school_district
3325,school_district
3326,school_district
3327,school_district
3330,school_district
3334,school_district
3336,school_district
3339,school_district
3342,school_district
3345,school_district
3346,school_district
3347,school_district
3348,school_district
3350,school_district
3353,school_district
3354,school_district
3355,school_district
3356,school_district
3357,school_district
3359,school_district
3360,school_district
3361,drop
3362,school_district
3363,school_district
3366,school_district
3371,school_district
3375,school_district
3376,school_district
3377,school_district
3378,school_district
3379,school_district
3380,school_district
3383,drop
3385,school_district
3386,school_district
3387,drop
3388,school_district
3389,school_district
3390,school_district
3391,school_district
3392,school_district
3393,school_district
3394,school_district
3396,school_district
3397,school_district
3398,school_district
3399,school_district
3400,school_district
3401,school_district
3402,drop
3403,school_district
3404,school_district
3407,drop
3411,drop
3413,school_district
3415,school_district
3422,school_district
3424,school_district
3426,school_district
3427,drop
3428,school_district
3429,school_district
3430,school_district
3433,school_district
3434,school_district
3435,drop
3441,school_district
3442,school_district
3443,school_district
3447,school_district
3450,school_district
3454,school_district
3455,school_district
3456,drop
3457,school_district
3461,drop
3463,school_district
3466,school_district
3469,school_district
3472,school_district
3474,school_district
3476,school_district
3477,school_district
3478,school_district
3479,school_district
3483,school_district
3484,school_district
3486,school_district
3490,school_district
3492,school_district
3493,school_district
3494,drop
3495,drop
3496,school_district
3500,school_district
3501,school_district
3504,school_district
3505,school_district
3507,school_district
3508,school_district
3509,school_district
3511,school_district
3512,school_district
3514,school_district
3515,drop
3517,school_district
3518,school_district
3519,drop
3520,school_district
3521,school_district
3522,drop
3524,school_district
3525,drop
3526,school_district
3531,school_district
3533,drop
3535,drop
3537,school_district
3538,school_district
3544,school_district
3545,school_district
3546,school_district
3548,school_district
3551,school_district
3555,drop
3557,school_district
3563,school_district
3567,drop
3568,school_district
3571,school_district
3575,school_district
3578,school_district
3582,school_district
3585,school_district
3587,school_district
3590,school_district
3591,school_district
3595,school_district
3597,school_district
3598,school_district
3600,school_district
3601,school_district
3603,drop
3604,school_district
3605,school_district
3606,school_district
3611,school_district
3612,school_district
3613,school_district
3614,school_district
3615,school_district
3617,school_district
3620,drop
3623,school_district
3624,school_district
3631,school_district
3632,school_district
3634,school_district
3636,school_district
3637,drop
3639,drop
3644,school_district
3647,drop
3648,school_district
3649,school_district
3755,drop
