index,action
0,school_district
2,school_district
6,school_district
9,school_district
10,school_district
12,school_district
15,school_district
16,school_district
20,school_district
21,drop
24,school_district
26,school_district
29,school_district
32,school_district
35,school_district
36,school_district
38,school_district
39,school_district
41,school_district
42,school_district
44,school_district
46,school_district
47,school_district
49,school_district
54,school_district
57,school_district
59,school_district
61,school_district
62,school_district
63,school_district
65,school_district
67,school_district
69,school_district
71,school_district
72,school_district
76,school_district
79,school_district
80,school_district
82,school_district
85,school_district
93,school_district
94,school_district
97,school_district
99,school_district
100,school_district
101,school_district
102,school_district
106,drop
109,school_district
110,school_district
111,school_district
112,school_district
116,school_district
118,school_district
120,school_district
121,school_district
125,address
127,school_district
128,school_district
129,school_district
130,school_district
131,school_district
133,school_district
135,school_district
136,drop
138,drop
139,school_district
140,school_district
141,school_district
144,school_district
147,school_district
149,school_district
150,school_district
152,drop
153,school_district
155,address
159,school_district
160,school_district
162,school_district
163,school_district
165,school_district
168,school_district
169,school_district
172,school_district
173,school_district
175,school_district
176,school_district
177,school_district
180,school_district
183,school_district
184,drop
186,school_district
189,school_district
191,school_district
192,school_district
193,school_district
194,school_district
195,school_district
196,school_district
200,school_district
202,drop
203,drop
205,school_district
206,school_district
207,school_district
209,school_district
212,school_district
213,school_district
215,school_district
216,school_district
221,school_district
222,school_district
224,school_district
225,school_district
226,drop
228,school_district
229,school_district
239,school_district
240,school_district
242,school_district
244,drop
248,school_district
249,school_district
251,school_district
253,school_district
254,school_district
260,school_district
261,school_district
262,school_district
269,drop
270,school_district
273,drop
276,school_district
278,school_district
279,school_district
281,drop
282,school_district
283,school_district
284,school_district
285,school_district
289,school_district
296,school_district
297,school_district
298,school_district
299,drop
302,school_district
303,drop
305,school_district
306,school_district
309,school_district
311,drop
314,drop
316,school_district
317,school_district
318,school_district
320,drop
322,school_district
324,school_district
325,school_district
330,school_district
331,school_district
336,school_district
338,school_district
342,school_district
343,school_district
345,school_district
349,school_district
350,school_district
354,school_district
356,school_district
357,school_district
359,school_district
360,school_district
361,school_district
366,school_district
368,school_district
370,school_district
374,school_district
376,school_district
378,school_district
379,school_district
381,school_district
382,school_district
383,school_district
387,school_district
389,school_district
391,school_district
401,school_district
402,school_district
407,school_district
408,school_district
409,school_district
412,school_district
414,school_district
415,school_district
420,school_district
422,school_district
424,school_district
427,school_district
428,school_district
429,school_district
430,school_district
431,school_district
432,drop
440,school_district
441,school_district
442,school_district
445,school_district
446,school_district
450,school_district
451,drop
458,school_district
459,school_district
460,school_district
461,school_district
467,school_district
474,drop
475,school_district
477,school_district
478,school_district
479,school_district
481,school_district
483,school_district
484,school_district
485,school_district
489,school_district
490,school_district
491,school_district
492,school_district
493,drop
495,school_district
497,school_district
499,school_district
502,school_district
503,school_district
504,school_district
506,school_district
509,school_district
510,school_district
513,school_district
514,school_district
515,school_district
516,school_district
518,school_district
519,school_district
520,school_district
522,school_district
523,school_district
524,school_district
527,school_district
532,school_district
535,school_district
536,school_district
537,school_district
541,school_district
544,drop
545,school_district
548,school_district
550,school_district
553,school_district
555,school_district
560,school_district
561,school_district
570,drop
571,school_district
572,school_district
574,school_district
576,school_district
581,school_district
582,drop
584,school_district
587,school_district
590,school_district
591,school_district
592,school_district
598,school_district
599,school_district
604,school_district
605,school_district
609,drop
614,school_district
615,school_district
617,school_district
620,school_district
621,school_district
624,school_district
626,school_district
627,school_district
628,school_district
630,school_district
633,school_district
634,school_district
636,school_district
637,drop
638,school_district
639,school_district
641,school_district
644,school_district
645,school_district
646,school_district
647,school_district
648,school_district
650,school_district
653,drop
654,drop
655,school_district
656,school_district
657,school_district
662,school_district
663,school_district
664,school_district
665,school_district
668,school_district
681,school_district
682,school_district
683,school_district
686,school_district
688,school_district
693,school_district
697,drop
702,school_district
703,school_district
704,school_district
707,school_district
713,drop
715,school_district
717,school_district
721,school_district
724,school_district
727,school_district
728,drop
729,school_district
730,school_district
732,school_district
733,school_district
735,school_district
736,school_district
740,school_district
741,school_district
743,school_district
746,school_district
748,school_district
752,school_district
754,school_district
758,school_district
760,school_district
761,school_district
763,school_district
766,school_district
773,school_district
775,school_district
778,school_district
784,school_district
786,school_district
788,school_district
789,drop
790,drop
791,drop
793,school_district
794,school_district
795,school_district
798,school_district
801,school_district
806,school_district
809,drop
811,school_district
812,school_district
814,school_district
817,school_district
818,school_district
819,school_district
821,school_district
824,school_district
827,school_district
828,school_district
829,school_district
830,school_district
833,school_district
834,school_district
839,school_district
840,school_district
843,drop
844,school_district
845,drop
848,school_district
850,school_district
851,school_district
854,school_district
858,drop
860,school_district
861,school_district
862,school_district
863,school_district
866,school_district
867,school_district
873,school_district
884,school_district
885,school_district
886,school_district
890,school_district
892,school_district
895,school_district
898,school_district
900,school_district
902,school_district
903,school_district
905,drop
908,school_district
912,school_district
915,school_district
917,school_district
920,school_district
921,school_district
922,school_district
923,school_district
925,school_district
926,drop
928,school_district
932,school_district
933,school_district
934,school_district
936,school_district
938,school_district
939,school_district
942,school_district
943,school_district
946,school_district
953,school_district
954,school_district
956,school_district
963,drop
965,school_district
966,school_district
967,school_district
968,school_district
969,school_district
974,school_district
975,drop
976,school_district
979,school_district
980,school_district
981,school_district
982,school_district
983,school_district
985,school_district
986,school_district
989,school_district
994,school_district
995,school_district
999,school_district
1003,school_district
1005,drop
1006,school_district
1007,school_district
1009,school_district
1011,school_district
1012,school_district
1013,school_district
1015,school_district
1018,school_district
1022,drop
1024,school_district
1025,drop
1027,school_district
1028,school_district
1030,drop
1032,school_district
1033,school_district
1037,school_district
1038,school_district
1044,school_district
1045,school_district
1047,drop
1050,school_district
1051,school_district
1053,school_district
1054,school_district
1055,school_district
1056,school_district
1057,school_district
1061,school_district
1063,school_district
1067,drop
1068,school_district
1072,school_district
1074,school_district
1077,school_district
1078,school_district
1079,drop
1080,school_district
1084,school_district
1085,school_district
1086,school_district
1088,school_district
1090,school_district
1098,school_district
1101,school_district
1102,school_district
1104,school_district
1107,school_district
1108,school_district
1110,school_district
1111,school_district
1112,school_district
1115,school_district
1119,school_district
1120,school_district
1122,school_district
1130,school_district
1131,school_district
1132,school_district
1136,school_district
1139,drop
1140,school_district
1142,school_district
1146,drop
1150,school_district
1151,school_district
1152,school_district
1153,school_district
1155,school_district
1156,school_district
1158,school_district
1159,school_district
1160,school_district
1161,school_district
1165,school_district
1170,school_district
1171,school_district
1172,school_district
1174,school_district
1178,school_district
1181,school_district
1182,school_district
1183,drop
1184,school_district
1185,school_district
1186,school_district
1189,school_district
1194,school_district
1198,school_district
1201,school_district
1202,school_district
1203,school_district
1205,school_district
1206,school_district
1208,school_district
1209,school_district
1213,school_district
1214,school_district
1215,school_district
1216,school_district
1217,school_district
1218,school_district
1219,school_district
1221,school_district
1222,school_district
1226,school_district
1227,school_district
1228,school_district
1230,school_district
1231,school_district
1235,school_district
1236,drop
1238,school_district
1240,school_district
1241,school_district
1244,school_district
1245,school_district
1246,school_district
1249,school_district
1254,school_district
1258,school_district
1262,school_district
1264,school_district
1265,school_district
1266,school_district
1267,school_district
1271,school_district
1274,school_district
1276,school_district
1278,school_district
1279,school_district
1283,school_district
1284,school_district
1289,school_district
1290,school_district
1291,school_district
1292,school_district
1297,school_district
1298,school_district
1300,school_district
1304,school_district
1305,school_district
1315,school_district
1316,school_district
1318,school_district
1319,school_district
1320,school_district
1322,school_district
1329,school_district
1330,school_district
1332,school_district
1334,school_district
1335,school_district
1336,school_district
1338,school_district
1343,address
1346,school_district
1347,school_district
1350,school_district
1353,school_district
1354,school_district
1357,school_district
1359,school_district
1362,school_district
1365,school_district
1366,school_district
1367,school_district
1369,school_district
1371,school_district
1374,school_district
1376,school_district
1384,school_district
1385,school_district
1386,drop
1389,school_district
1394,school_district
1396,school_district
1397,school_district
1398,school_district
1400,school_district
1401,school_district
1403,school_district
1404,school_district
1407,school_district
1414,school_district
1415,school_district
1423,drop
1424,school_district
1426,school_district
1427,school_district
1432,school_district
1433,school_district
1434,school_district
1439,school_district
1440,school_district
1441,school_district
1444,school_district
1448,school_district
1449,school_district
1452,school_district
1455,drop
1459,school_district
1461,school_district
1462,school_district
1463,school_district
1467,school_district
1468,school_district
1469,school_district
1471,school_district
1472,school_district
1475,school_district
1476,school_district
1478,school_district
1480,school_district
1481,school_district
1482,drop
1483,school_district
1484,school_district
1488,school_district
1489,school_district
1492,school_district
1495,school_district
1496,school_district
1499,school_district
1500,school_district
1501,school_district
1502,school_district
1504,drop
1508,school_district
1509,school_district
1512,school_district
1513,school_district
1515,school_district
1520,school_district
1521,school_district
1528,school_district
1529,school_district
1531,school_district
1533,school_district
1536,school_district
1537,school_district
1546,school_district
1548,school_district
1551,drop
1552,school_district
1557,school_district
1561,school_district
1562,school_district
1569,school_district
1575,school_district
1576,school_district
1578,drop
1584,school_district
1585,school_district
1587,school_district
1589,school_district
1592,school_district
1597,school_district
1598,school_district
1599,school_district
1600,school_district
1601,school_district
1602,school_district
1603,school_district
1608,school_district
1609,school_district
1610,school_district
1611,school_district
1612,school_district
1613,school_district
1614,drop
1617,school_district
1620,school_district
1626,school_district
1629,school_district
1633,school_district
1641,school_district
1644,school_district
1645,school_district
1650,school_district
1652,school_district
1654,school_district
1655,school_district
1657,school_district
1659,school_district
1661,school_district
1662,school_district
1667,school_district
1670,school_district
1671,school_district
1674,school_district
1677,school_district
1679,school_district
1682,school_district
1683,school_district
1684,school_district
1686,school_district
1687,school_district
1688,school_district
1689,school_district
1691,school_district
1693,school_district
1694,school_district
1697,school_district
1698,school_district
1701,school_district
1703,school_district
1704,school_district
1706,school_district
1707,school_district
1708,school_district
1709,school_district
1710,school_district
1711,school_district
1713,school_district
1717,school_district
1721,school_district
1722,school_district
1723,school_district
1725,school_district
1730,school_district
1733,school_district
1734,school_district
1735,school_district
1737,school_district
1738,school_district
1739,school_district
1740,school_district
1749,school_district
1751,school_district
1752,school_district
1753,school_district
1754,school_district
1755,school_district
1756,drop
1760,school_district
1761,school_district
1763,school_district
1766,school_district
1767,school_district
1768,school_district
1775,drop
1777,school_district
1781,school_district
1782,school_district
1787,school_district
1788,school_district
1792,school_district
1795,school_district
1797,school_district
1802,school_district
1803,school_district
1804,school_district
1807,school_district
1811,school_district
1812,school_district
1816,school_district
1817,school_district
1818,school_district
1819,school_district
1820,school_district
1821,school_district
1823,school_district
1825,school_district
1829,school_district
1831,school_district
1832,school_district
1834,school_district
1835,school_district
1839,school_district
1840,school_district
1841,school_district
1843,school_district
1845,school_district
1847,school_district
1848,school_district
1849,school_district
1854,school_district
1855,school_district
1858,school_district
1859,school_district
1860,school_district
1861,school_district
1862,school_district
1866,school_district
1868,school_district
1869,school_district
1870,school_district
1872,school_district
1873,school_district
1874,school_district
1878,school_district
1879,school_district
1880,school_district
1881,school_district
1885,school_district
1886,school_district
1893,school_district
1895,school_district
1897,school_district
1898,school_district
1900,school_district
1901,school_district
1902,school_district
1904,school_district
1905,school_district
1906,school_district
1907,school_district
1909,school_district
1911,school_district
1912,school_district
1913,school_district
1915,school_district
1916,school_district
1918,school_district
1919,school_district
1923,school_district
1926,school_district
1928,school_district
1930,school_district
1931,school_district
1932,school_district
1933,school_district
1935,school_district
1939,school_district
1940,school_district
1942,school_district
1946,school_district
1947,drop
1948,school_district
1949,school_district
1952,school_district
1954,school_district
1957,school_district
1958,school_district
1964,school_district
1966,school_district
1969,school_district
1970,school_district
1974,school_district
1975,school_district
1978,school_district
1980,school_district
1981,school_district
1982,school_district
1983,school_district
1984,school_district
1987,school_district
1989,school_district
1991,school_district
1993,school_district
1994,school_district
1996,school_district
1997,school_district
1998,school_district
2001,school_district
2004,school_district
2006,school_district
2007,school_district
2012,school_district
2014,school_district
2020,school_district
2022,school_district
2025,school_district
2026,school_district
2027,school_district
2029,school_district
2032,school_district
2033,school_district
2035,school_district
2038,school_district
2039,school_district
2041,school_district
2042,school_district
2047,school_district
2048,school_district
2050,school_district
2051,school_district
2058,school_district
2059,school_district
2060,school_district
2061,school_district
2063,school_district
2065,school_district
2069,school_district
2072,school_district
2074,school_district
2076,school_district
2080,school_district
2082,school_district
2083,school_district
2086,school_district
2095,school_district
2097,school_district
2099,school_district
2100,school_district
2101,school_district
2106,school_district
2107,school_district
2108,school_district
2110,school_district
2113,school_district
2115,school_district
2118,school_district
2125,school_district
2126,school_district
2127,school_district
2129,school_district
2130,school_district
2132,school_district
2133,school_district
2136,school_district
2137,school_district
2139,school_district
2143,school_district
2145,school_district
2147,school_district
2148,school_district
2149,school_district
2150,school_district
2154,school_district
2156,drop
2164,school_district
2166,school_district
2169,school_district
2170,school_district
2171,school_district
2172,school_district
2174,school_district
2175,school_district
2177,school_district
2178,school_district
2180,school_district
2184,school_district
2187,school_district
2188,school_district
2189,school_district
2190,drop
2195,drop
2199,school_district
2200,school_district
2202,school_district
2204,school_district
2208,school_district
2209,school_district
2212,school_district
2216,school_district
2219,school_district
2222,school_district
2223,school_district
2224,school_district
2226,school_district
2227,school_district
2228,school_district
2229,school_district
2230,school_district
2231,school_district
2236,school_district
2237,school_district
2239,school_district
2241,school_district
2244,school_district
2246,school_district
2247,school_district
2250,school_district
2252,school_district
2254,school_district
2255,school_district
2259,school_district
2261,school_district
2264,school_district
2270,drop
2272,school_district
2274,school_district
2277,school_district
2279,school_district
2284,school_district
2285,school_district
2286,school_district
2292,school_district
2294,school_district
2296,school_district
2299,school_district
2301,school_district
2302,school_district
2306,school_district
2309,school_district
2310,school_district
2315,school_district
2317,school_district
2319,school_district
2320,school_district
2325,school_district
2328,school_district
2329,school_district
2333,school_district
2334,school_district
2335,school_district
2336,school_district
2338,school_district
2339,drop
2341,school_district
2342,school_district
2346,school_district
2347,school_district
2348,school_district
2350,school_district
2351,school_district
2354,school_district
2355,school_district
2356,school_district
2357,school_district
2361,school_district
2363,school_district
2365,school_district
2368,school_district
2370,drop
2372,school_district
2374,school_district
2375,school_district
2377,school_district
2381,school_district
2383,drop
2389,school_district
2392,school_district
2393,school_district
2395,drop
2406,school_district
2410,drop
2413,school_district
2415,school_district
2416,school_district
2417,drop
2419,school_district
2423,school_district
2424,school_district
2432,drop
2435,school_district
2436,school_district
2441,school_district
2442,school_district
2443,drop
2444,school_district
2445,school_district
2448,school_district
2449,school_district
2457,drop
2462,drop
2466,school_district
2467,school_district
2468,school_district
2469,drop
2471,school_district
2473,school_district
2474,school_district
2475,school_district
2476,school_district
2477,school_district
2478,drop
2479,school_district
2480,school_district
2482,drop
2487,drop
2491,school_district
2492,school_district
2494,school_district
2499,school_district
2501,school_district
2503,school_district
2504,school_district
2506,drop
2509,school_district
2512,school_district
2513,school_district
2514,school_district
2515,school_district
2516,drop
2519,drop
2522,drop
2523,drop
2527,school_district
2528,drop
2529,drop
2534,school_district
2536,school_district
2539,school_district
2540,drop
2542,school_district
2543,drop
2545,school_district
2548,school_district
2549,school_district
2551,school_district
2555,school_district
2561,school_district
2569,school_district
2570,school_district
2571,school_district
2575,school_district
2579,drop
2582,drop
2583,drop
2589,drop
2591,school_district
2595,school_district
2599,school_district
2601,drop
2606,school_district
2609,school_district
2612,school_district
2614,school_district
2615,school_district
2617,school_district
2619,school_district
2620,school_district
2621,drop
2628,school_district
2633,school_district
2634,drop
2635,school_district
2636,school_district
2641,school_district
2643,school_district
2644,school_district
2645,school_district
2648,drop
2649,drop
2651,school_district
2653,school_district
2657,school_district
2658,school_district
2659,drop
2663,drop
2666,drop
2667,school_district
2671,school_district
2672,school_district
2673,school_district
2676,school_district
2679,school_district
2680,school_district
2682,school_district
2683,school_district
2684,school_district
2685,school_district
2687,drop
2688,drop
2690,school_district
2691,school_district
2697,drop
2698,school_district
2699,school_district
2700,school_district
2701,school_district
2704,drop
2705,drop
2706,school_district
2709,school_district
2711,school_district
2712,school_district
2713,school_district
2714,drop
2716,school_district
2719,school_district
2720,school_district
2721,school_district
2722,school_district
2724,drop
2725,drop
2728,drop
2730,school_district
2736,drop
2737,drop
2741,school_district
2742,school_district
2743,school_district
2745,school_district
2749,school_district
2750,school_district
2753,school_district
2757,school_district
2759,drop
2760,school_district
2763,school_district
2764,school_district
2766,school_district
2770,school_district
2771,school_district
2772,school_district
2775,school_district
2776,school_district
2777,drop
2779,school_district
2781,drop
2782,school_district
2783,school_district
2784,school_district
2787,school_district
2788,drop
2789,school_district
2791,school_district
2792,school_district
2795,school_district
2797,school_district
2803,drop
2804,school_district
2805,school_district
2806,drop
2807,drop
2808,drop
2809,drop
2810,school_district
2814,school_district
2818,school_district
2819,school_district
2820,school_district
2821,school_district
2822,school_district
2823,drop
2824,school_district
2825,drop
2826,school_district
2828,school_district
2829,school_district
2830,school_district
2831,school_district
2832,drop
2833,school_district
2834,school_district
2835,school_district
2836,school_district
2837,school_district
2838,school_district
2839,school_district
2840,school_district
2841,school_district
2842,school_district
2843,school_district
2844,school_district
2845,school_district
2846,school_district
2847,school_district
2848,school_district
2849,school_district
2850,drop
2851,school_district
2853,school_district
2854,school_district
2855,school_district
2861,school_district
2865,drop
2870,school_district
2871,school_district
2872,school_district
2873,school_district
2874,drop
2875,school_district
2876,school_district
2877,school_district
2878,school_district
2879,school_district
2880,school_district
2881,school_district
2882,school_district
2883,school_district
2884,school_district
2885,school_district
2886,school_district
2888,drop
2889,drop
2892,school_district
2893,school_district
2894,school_district
2897,school_district
2898,school_district
2899,school_district
2900,school_district
2902,school_district
2903,school_district
2904,school_district
2906,school_district
2909,school_district
2911,school_district
2915,drop
2917,school_district
2918,school_district
2919,school_district
2920,school_district
2922,school_district
2923,school_district
