index,action
0,school_district
2,school_district
6,school_district
9,school_district
10,school_district
12,address
15,school_district
16,school_district
20,school_district
21,drop
24,school_district
26,school_district
29,school_district
32,school_district
35,school_district
36,school_district
38,school_district
39,school_district
41,school_district
42,school_district
44,school_district
46,school_district
47,school_district
49,school_district
54,school_district
57,school_district
59,school_district
61,school_district
62,school_district
63,school_district
65,school_district
67,school_district
69,school_district
71,school_district
72,school_district
76,school_district
79,school_district
80,school_district
82,school_district
85,school_district
93,school_district
94,school_district
97,school_district
99,school_district
100,school_district
101,school_district
102,school_district
106,school_district
109,address
110,school_district
111,school_district
112,school_district
116,school_district
118,school_district
120,address
121,school_district
125,school_district
127,address
128,address
129,school_district
130,school_district
131,school_district
133,school_district
135,school_district
136,drop
138,address
139,school_district
140,school_district
141,school_district
144,school_district
147,school_district
149,school_district
150,school_district
152,address
153,address
155,address
159,school_district
160,school_district
162,address
163,school_district
165,address
168,school_district
169,school_district
172,school_district
173,school_district
175,school_district
176,school_district
177,school_district
180,school_district
183,school_district
184,drop
186,school_district
189,address
191,school_district
192,address
193,school_district
194,school_district
195,school_district
196,school_district
200,school_district
202,drop
203,address
205,school_district
206,school_district
207,school_district
209,school_district
212,school_district
213,school_district
215,school_district
216,school_district
221,school_district
222,address
224,school_district
225,school_district
226,drop
228,school_district
229,address
239,address
240,school_district
242,address
244,drop
248,school_district
249,school_district
251,school_district
253,address
254,school_district
260,school_district
261,school_district
262,school_district
269,address
270,school_district
273,drop
276,school_district
278,school_district
279,school_district
281,drop
282,school_district
283,school_district
284,school_district
285,address
289,school_district
296,school_district
297,school_district
298,school_district
299,drop
302,school_district
303,address
305,school_district
306,address
309,school_district
311,drop
314,drop
316,school_district
317,school_district
318,address
320,address
322,address
324,school_district
325,school_district
330,school_district
331,school_district
336,school_district
338,school_district
342,school_district
343,school_district
345,school_district
349,school_district
350,school_district
354,address
356,address
357,school_district
359,school_district
360,address
361,school_district
366,address
368,school_district
370,address
374,address
376,school_district
378,school_district
379,school_district
381,school_district
382,school_district
383,school_district
387,school_district
389,school_district
391,school_district
401,school_district
402,school_district
407,school_district
408,school_district
409,school_district
412,address
414,address
415,school_district
420,school_district
422,school_district
424,address
427,school_district
428,address
429,school_district
430,address
431,school_district
432,drop
440,school_district
441,school_district
442,school_district
445,school_district
446,school_district
450,school_district
451,drop
458,school_district
459,school_district
460,school_district
461,school_district
467,school_district
474,school_district
475,school_district
477,address
478,school_district
479,school_district
481,school_district
483,school_district
484,school_district
485,school_district
489,school_district
490,school_district
491,school_district
492,school_district
493,drop
495,school_district
497,school_district
499,school_district
502,address
503,address
504,school_district
506,school_district
509,school_district
510,school_district
513,school_district
514,school_district
515,school_district
516,address
518,school_district
519,school_district
520,school_district
522,address
523,school_district
524,school_district
