,title_1,address,school_district,action,index
0,St. Joseph Public Schools,,,school_district,0
1,Maple Heights City Schools,"5740 Lawn Avenue | Maple Heights, OH 44137 | 216-587-6100",,,2
2,Franklin County Career and Technology Center,,,school_district,6
3,Vista Oaks Charter School,,,school_district,9
4,Center Grove Community School Corporation,"4800 West Stones Crossing Road | Greenwood, IN 46143 | (317) 881-9326",,,10
5,Penta Career Center,"9301 Buck Rd. | Perrysburg, Ohio 43551 | High School: 419-666-1120   Adult Education: 419-661-6555",,,12
6,West Holmes Local Schools,"28 W Jackson St. | Millersburg, OH 44654 | 330-674-3546",,,15
7,Caroline County Public Schools,"Address: 204 Franklin Street | Denton, MD 21629 | Phone: (410) 479-1460",,school_district,16
8,Manton Consolidated Schools,,,school_district,20
9,Quality to the Core,,Central Dauphin School District,school_district,21
10,Frontier School Corporation,,,school_district,24
11,"Meade County, South Dakota","1300 Sherman Street Ste 222 | Sturgis, SD  57785",,,26
12,Hanley International Academy,"2400 Denton St., Hamtramck, MI 48212 Phone: (313) 875-8888",,,29
13,Christopher Newport University,"1 Avenue of the Arts Newport News, VA 23606 | (757) 594-7000",,school_district,32
14,Center for Deaf and Hard of Hearing Youth,,,school_district,35
15,Ionia Public Schools,,,school_district,36
16,Macon County R-1 Schools,"702 North Missouri  Macon, Missouri 63552  (660) 395-6164",,school_district,38
17,Bland County Public Schools,"361 Bears Trail | Bastian, VA  24314 | (276) 688-3361 | f (276) 688-4659",,school_district,39
18,"City of Johnston, Iowa","6221 Merle Hay Road | Johnston, IA 50131 | 515-278-2344 | f 515-278-2033",,,41
19,Ridgemont Local Schools,"560 W. Taylor Street Mount Victory, OH",,school_district,42
20,Reeths-Puffer Schools,,,school_district,44
21,Berkeley County Schools,"1453 Winchester Avenue | Martinsburg, WV 25405 | 304.267.3500",,school_district,46
22,Arcanum-Butler Schools,,,school_district,47
23,Seaman USD 345,"901 NW Lyman Road | Topeka,  KS 66608 | Ph: (785) 575-8600",,school_district,49
24,Rogers City Area Schools,,,school_district,54
