,LEA_NAME,LEAID,STATENAME
0,Alabama Youth Services,100002,ALABAMA
1,Albertville City,100005,ALABAMA
2,Marshall County,100006,ALABAMA
3,Hoover City,100007,ALABAMA
4,Madison City,100008,ALABAMA
5,Al Inst Deaf And Blind,100009,ALABAMA
6,Al Sch Of Math And Science,100010,ALABAMA
7,Leeds City,100011,ALABAMA
8,Boaz City,100012,ALABAMA
9,Trussville City,100013,ALABAMA
10,Alabama School of Fine Arts,100018,ALABAMA
11,Alexander City,100030,ALABAMA
12,Andalusia City,100060,ALABAMA
13,Anniston City,100090,ALABAMA
14,Arab City,100100,ALABAMA
15,Athens City,100120,ALABAMA
16,JF Ingram State Technical College,100176,ALABAMA
17,Attalla City,100180,ALABAMA
18,Saraland City,100185,ALABAMA
19,Chickasaw City,100188,ALABAMA
20,Satsuma City,100189,ALABAMA
21,Alabaster City,100190,ALABAMA
22,Pelham City,100194,ALABAMA
23,Pike Road City,100195,ALABAMA
24,MAEF Public Charter Schools,100197,ALABAMA
25,University Charter School,100199,ALABAMA
26,Legacy Prep,100201,ALABAMA
27,Gulf Shores City,100202,ALABAMA
28,LEAD Academy,100203,ALABAMA
29,i3 Academy,100204,ALABAMA
30,LIFE Academy,100207,ALABAMA
31,Breakthrough Charter School,100208,ALABAMA
32,Auburn City,100210,ALABAMA
33,Magic City Acceptance Academy,100211,ALABAMA
34,Alabama School of Cyber Technology and Engineering,100212,ALABAMA
35,Alabama Aerospace and Aviation,100213,ALABAMA
36,Autauga County,100240,ALABAMA
37,Baldwin County,100270,ALABAMA
38,Barbour County,100300,ALABAMA
39,Bessemer City,100330,ALABAMA
40,Bibb County,100360,ALABAMA
41,Birmingham City,100390,ALABAMA
42,Blount County,100420,ALABAMA
43,Brewton City,100450,ALABAMA
44,Bullock County,100480,ALABAMA
45,Butler County,100510,ALABAMA
46,Calhoun County,100540,ALABAMA
47,Chambers County,100600,ALABAMA
48,Cherokee County,100630,ALABAMA
49,Chilton County,100660,ALABAMA
50,Choctaw County,100690,ALABAMA
51,Clarke County,100720,ALABAMA
52,Clay County,100750,ALABAMA
53,Cleburne County,100780,ALABAMA
54,Coffee County,100810,ALABAMA
55,Colbert County,100840,ALABAMA
56,Conecuh County,100870,ALABAMA
57,Coosa County,100900,ALABAMA
58,Covington County,100930,ALABAMA
59,Crenshaw County,100960,ALABAMA
60,Cullman City,100990,ALABAMA
61,Cullman County,101020,ALABAMA
62,Dale County,101050,ALABAMA
63,Daleville City,101080,ALABAMA
64,Dallas County,101110,ALABAMA
65,DeKalb County,101140,ALABAMA
66,Decatur City,101170,ALABAMA
67,Demopolis City,101200,ALABAMA
68,Dothan City,101230,ALABAMA
69,Elba City,101260,ALABAMA
70,Elmore County,101290,ALABAMA
71,Enterprise City,101320,ALABAMA
72,Escambia County,101350,ALABAMA
73,Etowah County,101380,ALABAMA
74,Eufaula City,101410,ALABAMA
75,Fairfield City,101440,ALABAMA
76,Fayette County,101470,ALABAMA
77,Florence City,101530,ALABAMA
78,Fort Payne City,101560,ALABAMA
79,Franklin County,101590,ALABAMA
80,Gadsden City,101620,ALABAMA
81,Geneva City,101640,ALABAMA
82,Geneva County,101660,ALABAMA
83,Greene County,101680,ALABAMA
84,Guntersville City,101690,ALABAMA
85,Hale County,101710,ALABAMA
86,Haleyville City,101720,ALABAMA
87,Hartselle City,101730,ALABAMA
88,Henry County,101740,ALABAMA
89,Homewood City,101760,ALABAMA
90,Houston County,101770,ALABAMA
91,Huntsville City,101800,ALABAMA
92,Jackson County,101830,ALABAMA
93,Jacksonville City,101860,ALABAMA
94,Jasper City,101890,ALABAMA
95,Jefferson County,101920,ALABAMA
96,Lamar County,101950,ALABAMA
97,Lanett City,101980,ALABAMA
98,Lauderdale County,102010,ALABAMA
99,Lawrence County,102040,ALABAMA
100,Lee County,102070,ALABAMA
101,Limestone County,102100,ALABAMA
102,Linden City,102130,ALABAMA
103,Lowndes County,102160,ALABAMA
104,Macon County,102190,ALABAMA
105,Madison County,102220,ALABAMA
106,Marengo County,102250,ALABAMA
