school_district,state
"Alabama Department of Youth Services Schools, Alabama",Alabama
"Dothan City Schools, Alabama",Alabama
"Coffee County School District, Alabama",Alabama
"Haleyville City Schools, Alabama",Alabama
"Geneva County School District, Alabama",Alabama
"Choctaw County School District, Alabama",Alabama
"Mobile County Public Schools, Alabama",Alabama
"Bibb County School District, Alabama",Alabama
"Jacksonville City Schools, Alabama",Alabama
"Bessemer City Schools, Alabama",Alabama
"Mountain Brook City Schools, Alabama",Alabama
"Auburn City Schools, Alabama",Alabama
"Barbour County School District, Alabama",Alabama
"Huntsville City Schools, Alabama",Alabama
"Alabama School of Fine Arts, Alabama",Alabama
"Albertville City Schools, Alabama",Alabama
"Alexander City Schools, Alabama",Alabama
"Athens City Schools, Alabama",Alabama
"Autauga County School System, Alabama",Alabama
"Baldwin County Public Schools, Alabama",Alabama
"Brewton City Schools, Alabama",Alabama
"Calhoun County School District, Alabama",Alabama
"Cullman City Schools, Alabama",Alabama
"Cullman County School System, Alabama",Alabama
"Decatur City Schools, Alabama",Alabama
"Elba City Schools, Alabama",Alabama
"Elmore County School District, Alabama",Alabama
"Enterprise City Schools, Alabama",Alabama
"Etowah County School System, Alabama",Alabama
"Eufaula City Schools, Alabama",Alabama
"Fairfield City Schools, Alabama",Alabama
"Florence City Schools, Alabama",Alabama
"Fort Payne City Schools, Alabama",Alabama
"Gadsden City Schools, Alabama",Alabama
"Jasper City Schools, Alabama",Alabama
"Lee County School District, Alabama",Alabama
"Linden City Schools, Alabama",Alabama
"Macon County School District, Alabama",Alabama
"Madison City Schools, Alabama",Alabama
"Marion County Schools, Alabama",Alabama
"Montgomery Public Schools, Alabama",Alabama
"Oxford City Schools, Alabama",Alabama
"Perry County School District, Alabama",Alabama
"Pickens County School District, Alabama",Alabama
"Randolph County School District, Alabama",Alabama
"Russellville City Schools, Alabama",Alabama
"Shelby County Schools, Alabama",Alabama
"Sylacauga City Schools, Alabama",Alabama
"Tarrant City Schools, Alabama",Alabama
"Thomasville City Schools, Alabama",Alabama
"Trussville City Schools, Alabama",Alabama
"Tuscaloosa County School System, Alabama",Alabama
"Washington County School District, Alabama",Alabama
"Wilcox County School District, Alabama",Alabama
"Andalusia City Schools, Alabama",Alabama
"Anniston City Schools, Alabama",Alabama
"Arab City Schools, Alabama",Alabama
"Birmingham City Schools, Alabama",Alabama
"Blount County School District, Alabama",Alabama
"Bullock County School District, Alabama",Alabama
"Chambers County School District, Alabama",Alabama
"Chilton County School District, Alabama",Alabama
"Clay County School District, Alabama",Alabama
"Cleburne County School District, Alabama",Alabama
"Conecuh County School District, Alabama",Alabama
"Coosa County School District, Alabama",Alabama
"Crenshaw County School District, Alabama",Alabama
"Dale County School District, Alabama",Alabama
"Escambia County School District, Alabama",Alabama
"Franklin County School District, Alabama",Alabama
"Greene County School District, Alabama",Alabama
"Henry County School District, Alabama",Alabama
"Hoover City Schools, Alabama",Alabama
"Lamar County School District, Alabama",Alabama
"Jackson County School District, Alabama",Alabama
"Limestone County School District, Alabama",Alabama
"Lowndes County School District, Alabama",Alabama
"Tuscaloosa City Schools, Alabama",Alabama
"Sheffield City Schools, Alabama",Alabama
"Tuscumbia City Schools, Alabama",Alabama
"Vestavia Hills City Schools, Alabama",Alabama
"Marengo County School District, Alabama",Alabama
"Opelika City Schools, Alabama",Alabama
"Monroe County School District, Alabama",Alabama
"Ozark City Schools, Alabama",Alabama
"Roanoke City Schools, Alabama",Alabama
"Sumter County School District, Alabama",Alabama
"Winfield City Schools, Alabama",Alabama
"Madison County School System, Alabama",Alabama
"Russell County School District, Alabama",Alabama
"Jefferson County Schools, Alabama",Alabama
"Fort Rucker Schools, Alabama",Alabama
"Saraland City Schools, Alabama",Alabama
"Alabaster City Schools, Alabama",Alabama
"Chickasaw City Schools, Alabama",Alabama
"Pelham City Schools, Alabama",Alabama
"Pike Road Schools, Alabama",Alabama
"Gulf Shores City Schools, Alabama",Alabama
"Satsuma City Schools, Alabama",Alabama
"Attalla City Schools, Alabama",Alabama
"Butler County School District, Alabama",Alabama
"Cherokee County School District, Alabama",Alabama
"Covington County School District, Alabama",Alabama
"DeKalb County School District, Alabama",Alabama
"Guntersville City Schools, Alabama",Alabama
"Clarke County School District, Alabama",Alabama
"Hartselle City Schools, Alabama",Alabama
"Hale County School District, Alabama",Alabama
"Houston County School District, Alabama",Alabama
"Lawrence County School District, Alabama",Alabama
"Colbert County School District, Alabama",Alabama
"Marshall County School District, Alabama",Alabama
"Midfield City Schools, Alabama",Alabama
"Oneonta City Schools, Alabama",Alabama
"Geneva City Schools, Alabama",Alabama
"Phenix City Schools, Alabama",Alabama
"Demopolis City Schools, Alabama",Alabama
"Leeds City Schools, Alabama",Alabama
"Opp City Schools, Alabama",Alabama
"Piedmont City Schools, Alabama",Alabama
"Lauderdale County School District, Alabama",Alabama
"Muscle Shoals City Schools, Alabama",Alabama
"St. Clair County School System, Alabama",Alabama
"Talladega County School District, Alabama",Alabama
"Pike County School District, Alabama",Alabama
"Selma City Schools, Alabama",Alabama
"Daleville City Schools, Alabama",Alabama
"Homewood City Schools, Alabama",Alabama
"Scottsboro City Schools, Alabama",Alabama
"Fayette County School District, Alabama",Alabama
"Dallas County School District, Alabama",Alabama
"Lanett City Schools, Alabama",Alabama
"Tallassee City Schools, Alabama",Alabama
"Boaz City Schools, Alabama",Alabama
"Tallapoosa County School District, Alabama",Alabama
"Morgan County School District, Alabama",Alabama
"Walker County School District, Alabama",Alabama
"Winston County School District, Alabama",Alabama
"Talladega City Schools, Alabama",Alabama
"Troy City Schools, Alabama",Alabama
"Pell City Schools, Alabama",Alabama
"Yukon Flats School District, Alaska",Alaska
"Pribilof School District, Alaska",Alaska
"Delta/Greely School District, Alaska",Alaska
"Chatham School District, Alaska",Alaska
"Juneau Borough School District, Alaska",Alaska
"Dillingham City School District, Alaska",Alaska
"Alaska Gateway School District, Alaska",Alaska
"Kake City School District, Alaska",Alaska
"Lower Kuskokwim School District, Alaska",Alaska
"Galena City School District, Alaska",Alaska
"Cordova City School District, Alaska",Alaska
"Ketchikan Gateway Borough School District, Alaska",Alaska
"Bering Strait School District, Alaska",Alaska
"Craig City School District, Alaska",Alaska
"Copper River School District, Alaska",Alaska
"Wrangell Public School District, Alaska",Alaska
"Haines Borough School District, Alaska",Alaska
"Denali Borough School District, Alaska",Alaska
"Saint Mary's School District, Alaska",Alaska
"Annette Island School District, Alaska",Alaska
"Fairbanks North Star Borough School District, Alaska",Alaska
"Lower Yukon School District, Alaska",Alaska
"Nenana City School District, Alaska",Alaska
"Southeast Island School District, Alaska",Alaska
"Kuspuk School District, Alaska",Alaska
"Yukon-Koyukuk School District, Alaska",Alaska
"Lake and Peninsula School District, Alaska",Alaska
"Petersburg City School District, Alaska",Alaska
"Aleutian Region School District, Alaska",Alaska
"Northwest Arctic Borough School District, Alaska",Alaska
"Matanuska-Susitna Borough School District, Alaska",Alaska
"Yakutat School District, Alaska",Alaska
"Iditarod Area School District, Alaska",Alaska
"Anchorage School District, Alaska",Alaska
"Bristol Bay Borough School District, Alaska",Alaska
"Sitka School District, Alaska",Alaska
"Hoonah City School District, Alaska",Alaska
"Kashunamiut School District, Alaska",Alaska
"Nome Public Schools, Alaska",Alaska
"North Slope Borough School District, Alaska",Alaska
"Yupiit School District, Alaska",Alaska
"Skagway School District, Alaska",Alaska
"Kenai Peninsula Borough School District, Alaska",Alaska
"Klawock City School District, Alaska",Alaska
"Kodiak Island Borough School District, Alaska",Alaska
"Southwest Region School District, Alaska",Alaska
"Unalaska City School District, Alaska",Alaska
"Valdez City School District, Alaska",Alaska
"Aleutians East Borough School District, Alaska",Alaska
"Hydaburg City School District, Alaska",Alaska
"Pelican City School District, Alaska",Alaska
"Chugach School District, Alaska",Alaska
"Agua Fria Union High School District, Arizona",Arizona
"Aguila Elementary School District, Arizona",Arizona
"Ajo Unified School District, Arizona",Arizona
"Alhambra Elementary School District, Arizona",Arizona
"Alpine Elementary School District, Arizona",Arizona
"Altar Valley Elementary School District, Arizona",Arizona
"Amphitheater Public Schools, Arizona",Arizona
"Antelope Union High School District, Arizona",Arizona
"Apache Junction Unified School District, Arizona",Arizona
"Arlington Elementary School District, Arizona",Arizona
"Ash Creek Elementary School District, Arizona",Arizona
"Ash Fork Joint Unified School District, Arizona",Arizona
"Avondale Elementary School District, Arizona",Arizona
"Bagdad Unified School District, Arizona",Arizona
"Balsz Elementary School District, Arizona",Arizona
"Beaver Creek Elementary School District, Arizona",Arizona
"Benson Unified School District, Arizona",Arizona
"Bicentennial Union High School District, Arizona",Arizona
"Bisbee Unified School District, Arizona",Arizona
"Blue Ridge Unified School District, Arizona",Arizona
"Bonita Elementary School District, Arizona",Arizona
"Bouse Elementary School District, Arizona",Arizona
"Bowie Unified School District, Arizona",Arizona
"Buckeye Elementary School District, Arizona",Arizona
"Buckeye Union High School District, Arizona",Arizona
"Bullhead City Elementary School District, Arizona",Arizona
"Camp Verde Unified School District, Arizona",Arizona
"Canon Elementary School District, Arizona",Arizona
"Cartwright Elementary School District, Arizona",Arizona
"Casa Grande Elementary School District, Arizona",Arizona
"Casa Grande Union High School District, Arizona",Arizona
"Catalina Foothills Unified School District, Arizona",Arizona
"Cave Creek Unified School District, Arizona",Arizona
"Cedar Unified School District, Arizona",Arizona
"Central Arizona Valley Institute of Technology, Arizona",Arizona
"Chevelon Butte School District, Arizona",Arizona
"Chinle Unified School District, Arizona",Arizona
"Cobre Valley Institute of Technology, Arizona",Arizona
"Clarkdale-Jerome Elementary School District, Arizona",Arizona
"Chino Valley Unified School District, Arizona",Arizona
"Chandler Unified School District, Arizona",Arizona
"Cochise Elementary School District, Arizona",Arizona
"Coconino Association for Vocation Industry and Technology, Arizona",Arizona
"Colorado City Unified School District, Arizona",Arizona
"Colorado River Union High School District, Arizona",Arizona
"Cottonwood-Oak Creek Elementary School District, Arizona",Arizona
"Coolidge Unified School District, Arizona",Arizona
"Continental Elementary School District, Arizona",Arizona
"Concho Elementary School District, Arizona",Arizona
"Congress Elementary School District, Arizona",Arizona
"Crane Elementary School District, Arizona",Arizona
"Creighton Elementary School District, Arizona",Arizona
"Crown King Elementary School District, Arizona",Arizona
"Double Adobe Elementary School District, Arizona",Arizona
"Deer Valley Unified School District, Arizona",Arizona
"Duncan Unified School District, Arizona",Arizona
"Dysart Unified School District, Arizona",Arizona
"East Valley Institute of Technology, Arizona",Arizona
"Eagle Elementary School District, Arizona",Arizona
"Douglas Unified School District, Arizona",Arizona
"Elfrida Elementary School District, Arizona",Arizona
"Eloy Elementary School District, Arizona",Arizona
"Esperanza Academy Accommodation School District, Arizona",Arizona
"Flagstaff Unified School District, Arizona",Arizona
"Florence Unified School District, Arizona",Arizona
"Flowing Wells Unified School District, Arizona",Arizona
"Fort Thomas Unified School District, Arizona",Arizona
"Fountain Hills Unified School District, Arizona",Arizona
"Fowler Elementary School District, Arizona",Arizona
"Fredonia-Moccasin Unified School District, Arizona",Arizona
"Gadsden Elementary School District, Arizona",Arizona
"Gila Bend Unified School District, Arizona",Arizona
"Ganado Unified School District, Arizona",Arizona
"Globe Unified School District, Arizona",Arizona
