LEA_NAME,LEAID,STATENAME,url
Trussville City,100013,ALABAMA,
Conecuh County,100870,ALABAMA,
Demopolis City,101200,ALABAMA,
Guntersville City,101690,ALABAMA,
Sylacauga City,103120,ALABAMA,
Floretta P Carson Visual and Performing Arts,103586,ALABAMA,
Chino Valley Unified District (4474),400003,ARIZONA,
Clarkdale-Jerome Elementary District (4486),400004,ARIZONA,
Salome Consolidated Elementary District (4514),400005,ARIZONA,
Flagstaff Montessori (4205),400020,ARIZONA,
Heber-Overgaard Unified District (4392),400026,ARIZONA,
Triumphant Learning Center (4225),400028,ARIZONA,
Ridgeline Academy Inc. (4301),400031,ARIZONA,
Reid Traditional Schools' Valley Academy Inc. (4306),400034,ARIZONA,
Maricopa County Community College District dba Gat (4314),400041,ARIZONA,
Espiritu Community Development Corp. (4335),400052,ARIZONA,
Villa Montessori Charter School (4339),400054,ARIZONA,
EduPreneurship Inc. (4341),400055,ARIZONA,
Intelli-School Inc. (4352),400061,ARIZONA,
Benjamin Franklin Charter School - Queen Creek (4355),400065,ARIZONA,
Khalsa Montessori Elementary Schools (4360),400069,ARIZONA,
Montessori Education Centre Charter School (4363),400072,ARIZONA,
Kingman Academy Of Learning (4383),400074,ARIZONA,
Presidio School (4425),400081,ARIZONA,
Sedona Charter School Inc. (4492),400089,ARIZONA,
Mingus Springs Charter School (4493),400090,ARIZONA,
Franklin Phonetic Primary School Inc. (4495),400092,ARIZONA,
Ball Charter Schools (Hearn) (4294),400100,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (4331),400106,ARIZONA,
Allen-Cochran Enterprises Inc. (4347),400111,ARIZONA,
Hermosa Montessori Charter School (4426),400115,ARIZONA,
Arizona Department of Corrections (8336),400120,ARIZONA,
Montessori Schoolhouse of Tucson Inc. (4428),400126,ARIZONA,
Edkey Inc. dba American Heritage Academy  (6365),400130,ARIZONA,
CPLC Community Schools (4300),400144,ARIZONA,
Kaizen Education Foundation dba El Dorado High Sch (4342),400149,ARIZONA,
Mexicayotl Academy Inc. (4463),400150,ARIZONA,
Shonto Governing Board of Education Inc. (6353),400154,ARIZONA,
Edkey Inc. - Sequoia Choice Schools (4329),400157,ARIZONA,
Tucson Preparatory School (6374),400159,ARIZONA,
Coconino County Accommodation School District (10386),400163,ARIZONA,
Keystone Montessori Charter School Inc. (10878),400165,ARIZONA,
Cambridge Academy  East  Inc (78888),400182,ARIZONA,
Ball Charter Schools (Dobson) (79204),400184,ARIZONA,
Fit Kids Inc. dba Champion Schools (78783),400191,ARIZONA,
Mountain Oak Charter School Inc. (78873),400208,ARIZONA,
Painted Pony Ranch Charter School (10967),400210,ARIZONA,
Mary Ellen Halvorson Educational Foundation. dba:  (10965),400211,ARIZONA,
Benson Unified School District (79226),400212,ARIZONA,
Kaizen Education Foundation dba South Pointe Eleme (79233),400221,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (79049),400223,ARIZONA,
Horizon Community Learning Center Inc. (79264),400225,ARIZONA,
Kaizen Education Foundation dba South Pointe Junio (78965),400227,ARIZONA,
Milestones Charter School (79207),400229,ARIZONA,
Pathfinder Charter School Foundation (79024),400230,ARIZONA,
James Madison Preparatory School (79063),400231,ARIZONA,
Excalibur Charter Schools Inc. (79214),400235,ARIZONA,
Paramount Education Studies Inc (79205),400237,ARIZONA,
Paragon Management Inc. (5180),400241,ARIZONA,
Edkey Inc. dba Sequoia Charter School (6446),400244,ARIZONA,
Edkey Inc. - Sequoia Village School (79211),400246,ARIZONA,
Telesis Center for Learning Inc. (79218),400248,ARIZONA,
Carden of Tucson Inc. (78858),400258,ARIZONA,
Southgate Academy Inc. (79085),400259,ARIZONA,
Eastpointe High School Inc. (78833),400261,ARIZONA,
Patagonia Montessori Elementary School (79069),400263,ARIZONA,
Santa Cruz Valley Opportunities in Education Inc. (79066),400264,ARIZONA,
Kestrel Schools Inc. (79065),400267,ARIZONA,
Juniper Tree Academy (79064),400268,ARIZONA,
GAR LLC dba Student Choice High School (78997),400273,ARIZONA,
AIBT Non-Profit Charter High School - Phoenix (79053),400274,ARIZONA,
Highland Free School (79061),400275,ARIZONA,
Mohave Accelerated Learning Center (79498),400280,ARIZONA,
Masada Charter School Inc. (79499),400281,ARIZONA,
Harvest Power Community Development Group Inc. (79501),400282,ARIZONA,
Omega Alpha Academy (79503),400284,ARIZONA,
Premier Charter High School (79569),400288,ARIZONA,
Pan-American Elementary Charter (79578),400290,ARIZONA,
Kingman Unified School District (79598),400295,ARIZONA,
Calibre Academy (79055),400310,ARIZONA,
ThrivePoint High School Inc. (79059),400311,ARIZONA,
Yavapai Accommodation School District (79379),400315,ARIZONA,
Cobre Valley Institute of Technology District (79391),400316,ARIZONA,
Khalsa Family Services (79420),400317,ARIZONA,
Aprender Tucson (79426),400318,ARIZONA,
Acorn Montessori Charter School (79437),400320,ARIZONA,
Pinnacle Education-WMCB Inc. (79439),400321,ARIZONA,
Desert Rose AcademyInc. (79441),400322,ARIZONA,
Crown Charter School Inc (79443),400323,ARIZONA,
American Virtual Academy (79461),400329,ARIZONA,
James Sandoval Preparatory High School (79475),400332,ARIZONA,
Noah Webster Schools - Mesa (10760),400340,ARIZONA,
Cochise Technology District (79403),400345,ARIZONA,
Coconino Association for Vocation Industry and Tec (79381),400347,ARIZONA,
Central Arizona Valley Institute of Technology (79385),400348,ARIZONA,
