LEAID,boarddocs_url,school_district_from_boarddocs,LEA_NAME,address_from_boarddocs,home_website_from_boarddocs,phone_from_nces
2632850,https://go.boarddocs.com/mi/sjs/Board.nsf/Public,St. Joseph Public Schools,St. Joseph Public Schools,,sjschools.org,(269) 926-3100
4204710,https://go.boarddocs.com/pa/cali/Board.nsf/Public,,California Area SD,,calsd.org,(724) 785-5800
3904430,https://go.boarddocs.com/oh/mapleheights/Board.nsf/Public,Maple Heights City Schools,Maple Heights City,"5740 Lawn Avenue | Maple Heights, OH 44137 | 216-587-6100",mapleschools.com,(216) 587-6100
4222320,https://go.boarddocs.com/pa/shun/Board.nsf/Public,Southern Huntingdon County School District,Southern Huntingdon County SD,,shcsd.org,(814) 447-5529
1001680,https://go.boarddocs.com/de/sussexvt/Board.nsf/Public,Sussex Technical School District,Sussex Technical School District,17099 County Seat Hwy | Georgetown DE 19947 | 302-856-0961,sussexvt.org,(302) 856-2541
4280230,https://go.boarddocs.com/pa/fcctc/Board.nsf/Public,Franklin County Career and Technology Center,Franklin County Career and Technology Center,,franklinctc.com,(717) 263-9033
600025,https://go.boarddocs.com/ca/mbusd/Board.nsf/Public,Manhattan Beach Unified School District,Manhattan Beach Unified,"325 S. Peck Ave | Manhattan Beach, CA 90266 | (310) 318-7345 | f  (310) 303-3822",mbusd.org,(310) 318-7345
601779,https://go.boarddocs.com/ca/voc/Board.nsf/Public,Vista Oaks Charter School,Vista Oaks Charter District,,vistaoaks.net,(209) 365-4060
1801440,https://go.boarddocs.com/in/centergrove/Board.nsf/Public,Center Grove Community School Corporation,Center Grove Community School Corp,"4800 West Stones Crossing Road | Greenwood, IN 46143 | (317) 881-9326",centergrove.k12.in.us,(317) 881-9326
5512180,https://go.boarddocs.com/wi/sdpf/Board.nsf/Public,Prairie Farm School District,Prairie Farm Public School District,,prairiefarm.k12.wi.us,(715) 455-1861
5305010,https://go.boarddocs.com/wa/msdwa/Board.nsf/Public,Meridian School District,Meridian School District,"214 West Laurel Road | Bellingham, WA 98226 | Ph: 360.398.7111 | Fx: 360.398.8966",meridian.wednet.edu,(360) 398-7111
