LEA_NAME,simbli_id,LEAID
KIRKSVILLE R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=2,2916740
NORTH ANDREW CO. R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=4,2922710
SAVANNAH R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=6,2927570
MEXICO 59,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=10,2920810
VAN-FAR R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=11,2930780
MEXICO 59,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=12,2920810
SOUTHWEST R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=14,2928710
EXETER R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=15,2911670
CASSVILLE R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=16,2908170
MONETT R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=19,2921120
LIBERAL R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=20,2918510
LAMAR R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=22,2917850
,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=23,
ADRIAN R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=25,2902850
MEADOW HEIGHTS R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=33,2923640
OZARK R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=37,2923430
HALLSVILLE R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=38,2913560
DALLAS CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=42,2906120
MID-BUCHANAN CO. R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=44,2911940
ST. JOSEPH,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=46,2927060
NEELYVILLE R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=47,2921750
HAMILTON R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=51,2913590
NEW BLOOMFIELD R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=59,2921875
FULTON 58,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=60,2912550
SOUTH CALLAWAY CO. R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=61,2928430
CAMDENTON R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=63,2906990
OAK RIDGE R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=68,2923070
KANSAS CITY 33,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=69,2916400
CARROLLTON R-VII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=74,2907380
VAN BUREN R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=77,2930750
Bertie County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=80,3700360
PLEASANT HILL R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=83,2925330
DREXEL R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=85,2911070
MIDWAY R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=86,2931800
BELTON 124,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=87,2904620
SALISBURY R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=93,2927520
Nixa Public Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=95,2922530
SPARTA R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=96,2928740
CLEVER R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=98,2909780
OZARK R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=99,2923430
CLARK CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=104,2916380
MOBERLY,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=105,2921100
