simbli_id,LEAID,LEA_NAME
2,2916740,KIRKSVILLE R-III
4,2922710,NORTH ANDREW CO. R-VI
6,2927570,SAVANNAH R-III
10,2920810,MEXICO 59
11,2930780,VAN-FAR R-I
12,2920810,MEXICO 59
14,2928710,SOUTHWEST R-V
15,2911670,EXETER R-VI
16,2908170,CASSVILLE R-IV
19,2921120,MONETT R-I
20,2918510,LIBERAL R-II
22,2917850,LAMAR R-I
23,,
25,2902850,ADRIAN R-III
33,2923640,MEADOW HEIGHTS R-II
37,2923430,OZARK R-VI
38,2913560,HALLSVILLE R-IV
42,2906120,DALLAS CO. R-I
44,2911940,MID-BUCHANAN CO. R-V
46,2927060,ST. JOSEPH
47,2921750,NEELYVILLE R-IV
51,2913590,HAMILTON R-II
59,2921875,NEW BLOOMFIELD R-III
60,2912550,FULTON 58
61,2928430,SOUTH CALLAWAY CO. R-II
63,2906990,CAMDENTON R-III
68,2923070,OAK RIDGE R-VI
69,2916400,KANSAS CITY 33
74,2907380,CARROLLTON R-VII
77,2930750,VAN BUREN R-I
80,3700360,Bertie County Schools
83,2925330,PLEASANT HILL R-III
85,2911070,DREXEL R-IV
86,2931800,MIDWAY R-I
87,2904620,BELTON 124
93,2927520,SALISBURY R-IV
95,2922530,Nixa Public Schools
96,2928740,SPARTA R-III
98,2909780,CLEVER R-V
99,2923430,OZARK R-VI
104,2916380,CLARK CO. R-I
105,2921100,MOBERLY
106,2928410,SMITHVILLE R-II
107,2911650,EXCELSIOR SPRINGS 40
108,2918540,LIBERTY 53
110,2922800,NORTH KANSAS CITY 74
117,2916190,JEFFERSON CITY
119,2906150,COOPER CO. R-IV
122,2925170,PILOT GROVE C-4
126,2929430,STEELVILLE R-III
127,2919140,LOCKWOOD R-I
130,2913320,GREENFIELD R-IV
131,2906120,DALLAS CO. R-I
135,2912660,GALLATIN R-V
140,2929490,STEWARTSVILLE C-2
141,2927090,SALEM R-80
143,2913260,GREEN FOREST R-II
148,2904050,AVA R-I
151,2914460,HOLCOMB R-III
152,2909120,CLARKTON C-4
155,2916500,KENNETT 39
157,2923460,MERAMEC VALLEY R-III
158,2930570,UNION R-XI
160,2912450,SPRING BLUFF R-XV
161,2912480,STRAIN-JAPAN R-XVI
165,2931110,WASHINGTON
166,2923340,GASCONADE CO. R-II
167,2914280,GASCONADE CO. R-I
171,100005,Albertville City
173,2903270,ASH GROVE R-IV
174,2930990,WALNUT GROVE R-V
176,2919170,LOGAN-ROGERSVILLE R-VIII
177,100870,Conecuh County
178,2911700,FAIR GROVE R-X
183,2930360,TRENTON R-IX
185,2900002,SOUTH HARRISON CO. R-II
190,3700750,Chatham County Schools
204,2911990,FAYETTE R-III
207,100810,Coffee County
208,2932070,WILLOW SPRINGS R-IV
210,2931680,WEST PLAINS R-VII
212,2915060,JUNCTION HILL C-12
213,2911850,FAIRVIEW R-XI
214,2928470,SOUTH IRON CO. R-I
215,2903150,ARCADIA VALLEY R-II
217,2915510,IRON CO. C-4
220,2913080,GRAIN VALLEY R-V
221,2923010,OAK GROVE R-VI
223,101290,Elmore County
224,2926070,RAYTOWN C-2
225,2913140,GRANDVIEW C-4
228,102400,Monroe County
229,2908250,CENTER 58
230,2907350,CARL JUNCTION R-I
231,2904110,AVILLA R-XIII
233,2927540,SARCOXIE R-II
236,2916350,JOPLIN SCHOOLS
239,2926890,ROLLA 31
240,2914250,DUNKLIN R-V
241,2912030,FESTUS R-VI
242,2916230,JEFFERSON CO. R-VII
244,2932100,WINDSOR C-1
245,2912300,FOX C-6
246,2910380,CRYSTAL CITY 47
249,2914490,HOLDEN R-III
250,3703310,Craven County Board of Education
