simbli_id,school_name,state,address,city,zipcode,phone_number,fax_number,website
2,Kirksville R-III School District,MO,1901 E Hamilton Street,Kirksville,63501,6606657774,6606653281,http://www.kirksville.k12.mo.us
4,North Andrew Co. R-VI,MO,,,,,,https://northandrew.org/
6,Savannah R-III,MO,408 W Market St,Savannah,64485,8163243144,8163245594,http://www.savannahr3.com
10,Alamance-Burlington School System,NC,1712 Vaughn Road,Burlington,27217,3365706060,,http://www.abss.k12.nc.us
11,Van-Far R-I,MO,,,,,,https://www.vf.k12.mo.us/
12,Mexico Public Schools #59,MO,2101 Lakeview,Mexico,65265,5735813773,5735811794,http://www.mexicoschools.net/
14,Southwest R-V,MO,,,,,,https://www.swr5.net/
15,Exeter R-VI,MO,,,,,,https://www.exeter.k12.mo.us/
16,Cassville R-IV,MO,,,,,,https://cassville.k12.mo.us/
19,Monett R-I,MO,,,,,,https://www.monettschools.org/
20,Liberal R-II,MO,107 S. Paine,Liberal,64762,4178435115,,https://www.liberalbulldogs.org/our-school
22,Lamar R-I,MO,,,,,,https://www.lamar.k12.mo.us/
23,Demo County Schools,SD,123 Sample Street,Demo,57069,8771234567,,http://www.usd.edu
25,Adrian R-III,MO,,,,,,https://www.adrian.k12.mo.us/Home
33,Meadow Heights R-II,MO,,,,,,https://www.meadowheights.k12.mo.us/
37,Southern Boone School District,MO,5275 W. Red Tail Drive,Ashland,65010,5736572147,,http://ashland.k12.mo.us/
38,Hallsville R-IV ,MO,421 E Hwy 124,Hallsville,65255,5736965512,5736963606,http://www.hallsville.org/cms/
42,Columbia Public Schools,MO,1818 W. Worley Street,Columbia,65203,5732143400,5732143401,http://www.cpsk12.org
44,Mid-Buchanan Co. R-V,MO,,,,,,https://www.midbuchanan.k12.mo.us/
46,St. Joseph School District,MO,1415 N. 26th Street  St.,Joseph,64506,8166714000,8166714470,http://www.sjsd.k12.mo.us/
47,Neelyville R-IV,MO,,,,,,http://www.neelyville.k12.mo.us/
51,Hamilton R-II,MO,,,,,,https://www.hamilton.k12.mo.us/
59,New Bloomfield R-III,MO,307 Redwood Drive  New,Bloomfield,65063,5734913700,,http://www.nb.k12.mo.us
60,Fulton 58,MO,,,,,,http://www.fulton58.org/
61,South Callaway Co. R-II,MO,10135 State Road C,Mokane,65059-1213,5736765225,5736765134,http://www.sc.k12.mo.us
63,Camdenton R-III,MO,,,,,,https://www.camdentonschools.org/
68,Oak Ridge R-VI,MO,,,,,,https://www.oakridger6schools.com/
69,Cape Girardeau Public Schools,MO,301 North Clark Street  Cape,Girardeau,63701,5733351867,5733351820,https://www.capetigers.com/
74,Carrollton R-VII,MO,,,,,,https://www.trojans.k12.mo.us/
77,Van Buren R-I,MO,,,,,,https://www.vanburen.k12.mo.us/
80,Bertie County Schools,NC,715 US Hwy 13 North,Windsor,27983,2527946000,,http://www.bertie.k12.nc.us
83,Pleasant Hill R-III,MO,,,,,,https://www.phr3.org/
85,Drexel R-IV,MO,"207 S Fourth St, PO Box 860",Drexel,64742,8166520401,8162875003,https://www.drexel.k12.mo.us/
86,Midway R-I,MO,,,,,,https://www.midwayk12.net/
87,Belton 124,MO,,,,,,https://www.beltonschools.org/
93,Salisbury R-IV,MO,,,,,,https://www.salisbury.k12.mo.us/
95,Nixa Public Schools,MO,,,,,,http://www.nixapublicschools.net
96,Sparta R-III,MO,,,,,,https://www.sparta.k12.mo.us/
98,Clever R-V,MO,,,,,,https://www.clever.k12.mo.us/
99,Ozark R-VI,MO,1600 W. Jackson St,Ozark,65721,,,http://www.ozarktigers.org
104,Clark Co. R-I,MO,,,,,,https://clarkcounty.k12.mo.us/District/
105,Kearney School District,MO,425 W. Washington St.,Kearney,64060,8166284116,8166284074,http://www.ksdr1.net/
106,Smithville R-II,MO,,,,,,https://www.smithvilleschooldistrict.net/
107,Excelsior Springs 40,MO,,,,,,https://www.essd40.com/home
108,Liberty 53,MO,,,,,,https://www.lps53.org/liberty53
110,North Kansas City 74,MO,,,,,,https://www.nkcschools.org/
117,Jefferson City,MO,,,,,,https://www.jcschools.us/
119,Cooper Co. R-IV,MO,,,,,,https://www.bunceton.k12.mo.us/
122,Pilot Grove C-4,MO,,,,,,https://www.pilotgrove.k12.mo.us/
126,Steelville R-III,MO,,,,,,https://www.steelville.k12.mo.us/
127,Lockwood R-I,MO,,,,,,https://www.lockwoodschools.org/
130,Greenfield R-IV,MO,,,,,,https://www.greenfieldr4.org/
131,Dallas Co. R-I,MO,"1323 S. Ash Street,",Buffalo,65622,4173452222,,http://www.bisonpride.org/
135,Gallatin R-V School District,MO,602 South Olive St,Gallatin,64640,6606632171,6606632559,https://www.gallatin.k12.mo.us/
140,Stewartsville C-2,MO,,,,,,https://www.stewartsville.k12.mo.us/
141,Salem R-80,MO,,,,,,https://www.salemr80.org/
143,Green Forest R-II,MO,,,,,,https://www.gfr2.k12.mo.us/
148,Ava R-I,MO,,,,,,https://mo50000144.schoolwires.net/District
151,Holcomb R-III,MO,,,,,,https://holcomb.ss20.sharpschool.com/
152,Clarkton C-4,MO,,,,,,https://www.clarktonschools.org/
155,Kennett 39,MO,,,,,,https://www.kennett.k12.mo.us/
157,Meramec Valley R-III,MO,126 N. Payne Street,Pacific,63069,6362711400,,http://www.mvr3.k12.mo.us
158,Union R-XI ,MO,,,,,,https://www.unionrxi.org/
160,Spring Bluff R-XV School,MO,9374 Hwy 185,Sullivan,63080,5734578302,5734572070,https://www.springbluffpirates.com
161,Strain-Japan R-XVI,MO,,,,,,http://www.strainjapanschool.com
165,Washington,MO,220 Locust Street,Washington,63090,6362312000,,https://www.washington.k12.mo.us/
166,Gasconade Co. R-II,MO,,,,,,https://www.dutchmen.us/
167,Gasconade Co. R- I,MO,,,,,,http://www.hermann.k12.mo.us
171,Willard Public Schools,MO,500 E. Kime St,Willard,65781,4177422584,4177422586,http://www.willardschools.net
173,Ash Grove R-IV,MO,,,,,,https://www.agpirates.com/Schools
174,Walnut Grove R-V,MO,,,,,,http://www.wgtigers.com
176,Logan-Rogersville R-VIII,MO,,,,,,https://www.logrog.net/
177,Springfield R12,MO,1359 E. Saint Louis St.,Springfield,65802,4175230026,4175230185,https://www.sps.org/
178,Fair Grove R-X,MO,,,,,,https://www.fairgroveschools.net/
183,Trenton R-IX,MO,,,,,,https://www.trentonr9.k12.mo.us/
185,South Harrison Co. R-II,MO,,,,,,https://www.shr2.k12.mo.us/
190,Chatham County Schools,NC,468 Renaissance Drive,Pittsboro,27312,9195423626,9195421980,http://www.chatham.k12.nc.us
204,Fayette R-III,MO,,,,,,https://www.fayette.k12.mo.us/
207,Mtn View-Birch Tree R-III,MO,,,,,,https://home.liberty.mvbt.k12.mo.us/
208,Willow Springs R-IV,MO,,,,,,https://www.willowbears.com/
210,West Plains R-VII,MO,,,,,,https://www.zizzers.org/
212,Junction Hill C-12,MO,,,,,,https://www.junctionhill.k12.mo.us/
213,Fairview R-XI,MO,,,,,,https://www.fvflyers.com/
214,South Iron Co. R-I,MO,,,,,,https://www.sipanthers.k12.mo.us/home
215,Arcadia Valley R-II,MO,,,,,,https://www.avr2.org/
217,Iron Co. C-4,MO,,,,,,http://ironc4.k12.mo.us/
220,Grain Valley R-V ,MO,,,,,,https://www.grainvalleyschools.org/
221,Oak Grove R-VI,MO,,,,,,http://www.oakgrove.k12.mo.us/
223,Hickman Mills C-I School,MO,5401 E 103rd Street,Kansas City,64137,8163167000,8163167020,https://www.hickmanmills.org/
224,Raytown C-2,MO,,,,,,https://www.raytownschools.org/
225,Grandview C-4,MO,13015 10th Street,Grandview,64030,8163165000,8163165050,http://www.grandviewc4.net
228,Kansas City Public Schools,MO,2901 Troost Ave.,Kansas City,64109,8164187000,,http://www.kcpublicschools.org
