SchoolName,Index
100-297 HS Grant,3184
A+ Charter Schools,2823
Abernathy ISD,1111
Abilene Independent School District,2274
Academy ISD,2299
Ada Public Schools,ada
Ada-Borup-West School District,2497
Adair Public Schools,509
Addison Public Library,2676
AESA,AESA
Agar-Blunt-Onida School District,ABO
Agra Public Schools,659
Agua Dulce Independent School District,1990
Ainsworth Community Schools,415
Aitkin Public School District,1530
Akron-Fairgrove Schools,1071
Alamo Colleges District,679
Alamo Heights Independent School District,713
Alanson Public School,2674
Alba-Golden ISD,1895
Albany Area Schools,1812
Albert Lea Area Schools,1252
Aldine ISD,1722
Aledo ISD,871
Alex Public Schools,226
Alexander Public Schools,2682
Alexandria Township School District,2072
Algonac Community Schools,1625
ALICAP,119
Alice ISD,868
Alief ISD,770
Allen Community College,2650
Allen Independent School District,855
Alma Public Schools,almaschools
Alpena County,1365
Alpena-Montmorency-Alcona ESD,2701
Alpine ISD,2310
Alsea Charter School,2548
Altoona-Midway USD 387,3042
Alva Public Schools,Alva
Alvarado ISD,724
Alvin Independent School District,1295
Amarillo College,1957
Amarillo ISD,1931
Amboy CUSD #272,1276
Amherst Public Schools,179
Amphitheater Public Schools,2065
Anadarko Public Schools,Anadarko
Anahuac Independent School District,1870
Anderson-Shiro CISD,633
Andes Central School District,AndesCentral
Angelina College,2752
Angleton Independent School District,1874
Anna Independent School District,849
Annawan Public Schools,1608
Annette Island School District,1331
Anoka-Hennepin School District 11,2720
Anselmo-Merna Public School,108
Ansley Public School,Ansley
Anson ISD,2224
Anthony ISD,819
Antioch School District 34,1716
Anton ISD,2285
Aquilla Independent School District,2211
Aransas Pass ISD,924
Arapahoe-Holbrook Public Schools,418
Archer City ISD,2988
Ardmore City Schools,Ardmore
Argo Community High School District 217,1709
Argyle ISD,1395
Arkansas Department of Education,1133
Arlington Community Schools,563
Arlington ISD,2978
Arlington Public Schools,146
Arp ISD,1862
Ashland School District,1537
Ashland-Greenwood Public Schools,79
Ashley Community Schools,2751
