School Name,Index,LEAID
100-297 HS Grant,3184,
A+ Charter Schools,2823,
Ada Public Schools,ada,
Ada-Borup-West School District,2497,2700480
Addison Public Library,2676,
AESA,AESA,
Agar-Blunt-Onida School District,ABO,
Ainsworth Community Schools,415,
Alamo Colleges District,679,
Alanson Public School,2674,2621810
Alex Public Schools,226,
Alexander Public Schools,2682,2302280
Alice ISD,868,4807800
Allen Community College,2650,
Allen Independent School District,855,
Alpena-Montmorency-Alcona ESD,2701,2680120
Alsea Charter School,2548,
Altoona-Midway USD 387,3042,
Alvarado ISD,724,4800011
Amboy CUSD #272,1276,
Anadarko Public Schools,Anadarko,
Anahuac Independent School District,1870,
Anderson-Shiro CISD,633,4808230
Anoka-Hennepin School District 11,2720,
Ansley Public School,Ansley,
Arapahoe-Holbrook Public Schools,418,
Archer City ISD,2988,4808610
Argyle ISD,1395,4808670
Ashland-Greenwood Public Schools,79,
Ashley Community Schools,2751,2603480
Athens Independent School District,635,
Austin Peay State University,597,
Austin Public Schools,2516,
Avery ISD,761,4809060
Baird ISD,2000,4809280
Bakken Area Skills Center,2989,3880784
Baldwin Community Schools,2632,2603810
Banks School District,2613,1300240
Bannockburn School District 106,1248,1704950
Barbers Hill Independent School District,1110,
Barnesville Public Schools,1533,
Bath Community Schools,3210,2604170
Battle Creek Public Schools,2646,2600005
Bay-Arenac ISD,909,2680504
Beaumont ISD,748,4809670
Beaverton School District,1443,2604440
Beeville ISD,2183,4809720
Belcourt School District #7,2815,
Beloit Schools USD 273,2730,
Ben Bolt - Palito Blanco ISD,2197,4809870
Bend-La Pine Schools,2413,
Bennington Public Schools,bennington,
Benzie Central Schools,2367,2604950
Berryhill Public Schools,2981,
Bertrand Community School,182,
Bethany Public Schools,2725,
Bethel Board of Education,2425,
Bishop,3203,
Blachly School District,2514,
Bloomfield Community Schools,424,
Bloomfield Public Schools,2463,900330
Bloomingdale Public Schools,3205,3401860
Blue Hill Community Schools,423,
Bluff Dale ISD,2721,4810620
