school_name,index,LEAID
100-297hsgrant,3184,
a+charter,2823,
abernathyisd,1111,4807410
abileneindependent,2274,
academyisd,2299,4807470
ada-borup-west,2497,2700480
addisonpubliclibrary,2676,
aguadulceindependent,1990,
aitkinpublic,1530,2702760
akron-fairgrove,1071,2602010
alamocolleges,679,
alamoheightsindependent,713,
alanson,2674,2621810
alba-goldenisd,1895,4807650
albanyarea,1812,
albertleaarea,1252,
aldineisd,1722,4807710
aledoisd,871,4807780
alexander,2682,2302280
alexandriatownship,2072,3400690
algonaccommunity,1625,2602190
aliceisd,868,4807800
aliefisd,770,4807830
allencommunitycollege,2650,
allenindependent,855,
alpena,1365,502280
alpena-montmorency-alconaesd,2701,2680120
alpineisd,2310,4807950
alseacharter,2548,
altoona-midwayusd387,3042,
alvaradoisd,724,4800011
alvinindependent,1295,
amarillocollege,1957,
amarilloisd,1931,4808130
amboycusd#272,1276,
amphitheater,2065,
anahuacindependent,1870,
anderson-shirocisd,633,4808230
angelinacollege,2752,
angletonindependent,1874,
annaindependent,849,
annawan,1608,
annetteisland,1331,200525
anoka-hennepin11,2720,
ansonisd,2224,4808400
anthonyisd,819,4808430
antioch34,1716,
antonisd,2285,4808460
aquillaindependent,2211,
aransaspassisd,924,4808580
archercityisd,2988,4808610
argocommunityhigh217,1709,
argyleisd,1395,4808670
arkansasdepartmentofeducation,1133,
arlingtonisd,2978,4808700
arpisd,1862,4808730
ashland,1537,2003510
ashleycommunity,2751,2603480
athensindependent,635,
atlantaisd,888,4808880
augres-sims,1634,2603600
aubreyindependent,1857,
austin,2516,
averyisd,761,4809060
avon-washingtontownshippubliclibrary,1161,
azleindependent,1367,
aztecmunicipal,2121,
badgerisd676,1824,
bagley,1183,
bairdisd,2000,4809280
bakkenareaskillscenter,2989,3880784
baldwincommunity,2632,2603810
ballingerisd,2226,4809300
balmorheaisd,2166,4809330
banderaindependent,1846,
bangortownship,1645,2603900
banks,2613,1300240
bannockburn106,1248,1704950
banqueteisd,1705,4809410
barbershillindependent,1110,
barnesville,1533,
bartlettisd,1020,4809540
bastropindependent,1914,
bathcommunity,3210,2604170
battlecreekcentralhigh,1167,
battlecreek,2646,2600005
baycityisd,2101,4809630
bay-arenacisd,909,2680504
beaumontisd,748,4809670
beaverton,1443,2604440
becker,1475,
beckvilleisd,1964,4809690
bedford,1618,2502400
beevilleisd,2183,4809720
belcourt#7,2815,
beldingarea,1062,2604530
belleplaine,1400,2003900
bellsisd,2225,4809780
bellvilleisd,2334,4809810
belmond-klemmecsd,1344,
beloitusd273,2730,
beltonindependent,1873,
benbolt-palitoblancoisd,2197,4809870
benavidesisd,2230,4899130
bend-lapine,2413,
benjamin25,1192,1705880
bensonisd#777,1584,
benziecentral,2367,2604950
bernalillo,2111,3500210
berrienresa,1635,2680160
berriensprings,1327,2605430
berwynnorth98,1719,1706060
berwynsouth100,1287,1706090
bethaltocusd#8,1329,
bethelboardofeducation,2425,
biglake,1761,
bigsandyisd-polk,2347,
bigsandyisd-upshur,1918,
bigspringindependent,723,
birchrunarea,1627,2605820
birdvilleindependent,2178,
bishopconsolidatedindependent,2297,
bismarck-henningcusd#1,1718,
bismarck-henning/rossville-alvincooperativehigh,1963,
blachly,2514,
blackwellconsolidatedindependent,2113,
blancoisd,1855,4810320
blandisd,2075,4810350
blinncollege-brenhamregular,1319,
bloomburgindependent,2233,
bloomfield,2463,900330
bloominggroveisd,1348,4810470
bloomingdale,3205,3401860
bloomingdale13,1261,1706450
bloomingtonindependent,959,
blueridgecusd#18,1708,
blueridgeisd,845,4810590
bluffdaleisd,2721,4810620
blumisd,2351,4810650
boerneindependent,1350,
bold,3004,
bolesisd,1301,4810740
bonhamisd,866,4810800
bonnevillejoint93,1349,
bordenisd,1296,4810860
borgerisd,904,4810890
boscobelarea,2023,5501500
bosquevilleisd,1003,4810910
bowieindependent,878,
"bowie-casselectriccooperative,inc.",830,
boxelder,1575,4900090
boycevillecommunity,1606,5501590
boydisd,1611,4811010
boynecity,965,2606500
boysranchisd,697,4811040
brackettisd,1723,4811070
brandon,1633,
brandywinecommunity,1034,2606600
brazosportcollege,1854,
brazosportindependent,877,
breckenridgeisd,1647,4811220
breckenridge846,1745,
brenhamisd,1856,4811280
bridgecityindependent,905,
bridgeportisd,647,4811340
bridgeport,2756,900450
bridgman,1060,2606840
brightonarea,2615,2606870
bristolbayborough,2140,200030
bristol,2447,900510
broaddusisd,2228,4811430
brockisd,803,4811460
brookfield-lagrangepark95,1715,
brookings-harbor17c,1563,4102310
brooklyncenter,1769,
brooks,2026,1300540
brooksisd,2016,4811580
brookwood167,1714,1716950
brownfieldisd,674,4811610
browning,2060,
brownsboroisd,1273,4811640
brownsvilleisd,2175,4811680
brownwoodindependent,988,
bryanindependent,2246,
bssd-unalakleet,2110,
buckholtsindependent,2350,
buckley,2599,
buenavistaisd,712,4811910
buffaloisd,2545,4811990
buffalo-hanover-montrose,1209,2707200
bullardindependent,2490,
bunaindependent,820,
burkburnettindependent,1896,
burkevilleisd,1892,4812150
burlesonisd,1384,4812180
burlingtonusd#244,3199,
burnetconsolidatedi.s.d.,1041,
burnham154.5,2694,
burnsville-eagan-savageisd191,1113,
burtonisd,2593,4812240
bushlandisd,1767,4835570
bynumisd,2116,4812360
byronarea,1428,2607530
byroncenter,930,2607560
c.o.o.r.intermediate,1970,
caddomillsisd,669,4812390
cahokiaunit187,1497,
calallenisd,934,4812420
caldwellisd,680,4812460
calhounisd,2207,4812480
calhounintermediate,Calhoun,2680200
callisburgisd,2750,4812510
cambridge-isanti,1122,
cameronisd,1226,4812640
canadianisd,789,4812700
cannonvalleyspecialeducationcooperative,1036,
cantonisd,2194,4812750
cantonunion#66,1679,
canutilloisd,864,4812780
canyonisd,788,4812810
canyon-owyheeerviceagency,2093,
capitanmunicipal,1345,
