School Name,Index,has_search_index
100-297 HS Grant,3184,True
A+ Charter Schools,2823,True
Abernathy ISD,1111,False
Abilene Independent School District,2274,False
Academy ISD,2299,False
Ada Public Schools,ada,True
Ada-Borup-West School District,2497,True
Adair Public Schools,509,False
Addison Public Library,2676,True
AESA,AESA,True
Agar-Blunt-Onida School District,ABO,True
Agra Public Schools,659,False
Agua Dulce Independent School District,1990,False
Ainsworth Community Schools,415,True
Aitkin Public School District,1530,False
Akron-Fairgrove Schools,1071,False
Alamo Colleges District,679,True
Alamo Heights Independent School District,713,False
Alanson Public School,2674,True
Alba-Golden ISD,1895,False
Albany Area Schools,1812,False
Albert Lea Area Schools,1252,False
Aldine ISD,1722,False
Aledo ISD,871,False
Alex Public Schools,226,True
Alexander Public Schools,2682,True
Alexandria Township School District,2072,False
Algonac Community Schools,1625,False
ALICAP,119,False
Alice ISD,868,True
Alief ISD,770,False
Allen Community College,2650,True
Allen Independent School District,855,True
Alma Public Schools,almaschools,False
Alpena County,1365,False
Alpena-Montmorency-Alcona ESD,2701,True
Alpine ISD,2310,False
Alsea Charter School,2548,True
Altoona-Midway USD 387,3042,True
Alva Public Schools,Alva,False
Alvarado ISD,724,True
Alvin Independent School District,1295,False
Amarillo College,1957,False
Amarillo ISD,1931,False
Amboy CUSD #272,1276,True
Amherst Public Schools,179,False
Amphitheater Public Schools,2065,False
Anadarko Public Schools,Anadarko,True
Anahuac Independent School District,1870,True
Anderson-Shiro CISD,633,True
Andes Central School District,AndesCentral,False
Angelina College,2752,False
Angleton Independent School District,1874,False
Anna Independent School District,849,False
Annawan Public Schools,1608,False
Annette Island School District,1331,False
Anoka-Hennepin School District 11,2720,True
Anselmo-Merna Public School,108,False
Ansley Public School,Ansley,True
Anson ISD,2224,False
Anthony ISD,819,False
Antioch School District 34,1716,False
Anton ISD,2285,False
Aquilla Independent School District,2211,False
Aransas Pass ISD,924,False
Arapahoe-Holbrook Public Schools,418,True
Archer City ISD,2988,True
Ardmore City Schools,Ardmore,False
Argo Community High School District 217,1709,False
Argyle ISD,1395,True
Arkansas Department of Education,1133,False
Arlington Community Schools,563,False
Arlington ISD,2978,False
Arlington Public Schools,146,False
Arp ISD,1862,False
Ashland School District,1537,False
Ashland-Greenwood Public Schools,79,True
Ashley Community Schools,2751,True
Associated School Boards of South Dakota,ASBSD,False
Athens Independent School District,635,True
Atlanta ISD,888,False
Au Gres-Sims School District,1634,False
Aubrey Independent School District,1857,False
Auburn Public Schools,98,False
Aurora Public Schools,421,False
Austin Peay State University,597,True
Austin Public Schools,2516,True
Avery ISD,761,True
Avon-Washington Township Public Library,1161,False
Azle Independent School District,1367,False
Aztec Municipal School District,2121,False
Badger ISD 676,1824,False
Bagley Public Schools,1183,False
Baird ISD,2000,True
Bakken Area Skills Center,2989,True
Baldwin Community Schools,2632,True
Ballinger ISD,2226,False
Balmorhea ISD,2166,False
Bandera Independent School District,1846,False
Bangor Township Schools,1645,False
Banks School District,2613,True
Banner County School,70,False
Bannockburn School District 106,1248,True
Banquete ISD,1705,False
Barbers Hill Independent School District,1110,True
Barnesville Public Schools,1533,True
Bartlesville Public Schools,Bartlesville,False
Bartlett City Schools,553,False
Bartlett ISD,1020,False
Bastrop Independent School District,1914,False
Bath Community Schools,3210,True
Battle Creek Central High School,1167,False
Battle Creek Public Schools,2646,True
Bay City ISD,2101,False
Bayard Public Schools,93,False
Bay-Arenac ISD,909,True
Beatrice Public Schools,82,False
Beaumont ISD,748,True
Beaverton School District,1443,True
BECKER PUBLIC SCHOOLS,1475,False
Beckville ISD,1964,False
Bedford County Schools,544,False
Bedford Public Schools,1618,False
Beeville ISD,2183,True
Belcourt School District #7,2815,True
Belding Area Schools,1062,False
Belle Plaine Public Schools,1400,False
Bellevue Public Schools,60,False
Bells ISD,2225,False
Bellville ISD,2334,False
Belmond-Klemme CSD,1344,False
Beloit Schools USD 273,2730,True
Belton Independent School District,1873,False
Ben Bolt - Palito Blanco ISD,2197,True
Benavides ISD,2230,False
Bend-La Pine Schools,2413,True
Benjamin School District 25,1192,False
Bennington Public Schools,bennington,True
Benson Public Schools ISD #777,1584,False
Benzie Central Schools,2367,True
Bernalillo Public Schools,2111,False
Berrien RESA,1635,False
Berrien Springs Public Schools,1327,False
Berryhill Public Schools,2981,True
Bertrand Community School,182,True
Berwyn North School District 98,1719,False
Berwyn South School District 100,1287,False
Bethalto CUSD #8,1329,False
Bethany Public Schools,2725,True
Bethel Board of Education,2425,True
Bethel Public School,333,False
Big Lake Schools,1761,False
Big Sandy ISD - Polk County,2347,False
Big Sandy ISD-Upshur County,1918,False
Big Spring Independent School District,723,False
Billings Public Schools,2479,False
Birch Run Area Schools,1627,False
Birdville Independent School District,2178,False
Bishop,3203,True
Bishop Consolidated Independent School District,2297,False
Bismarck-Henning CUSD #1,1718,False
Bismarck-Henning/Rossville-Alvin Cooperative High School,1963,False
Bixby Public Schools Administration Building,Bixby,False
Blachly School District,2514,True
Blackwell Consolidated Independent School District,2113,False
Blair Community Schools,134,False
Blanchard Public Schools,595,False
Blanco ISD,1855,False
Bland ISD,2075,False
Blinn College - Brenham Regular,1319,False
Bloomburg Independent School District,2233,False
Bloomfield Community Schools,424,True
Bloomfield Public Schools,2463,True
Blooming Grove ISD,1348,False
Bloomingdale Public Schools,3205,True
Bloomingdale School District 13,1261,False
Bloomington Independent School District,959,False
Blue Hill Community Schools,423,True
Blue Ridge CUSD #18,1708,False
Blue Ridge ISD,845,False
Bluff Dale ISD,2721,True
Blum ISD,2351,False
Boerne Independent School District,1350,False
Boise City Public Schools,BoiseCity,True
BOLD Public Schools,3004,True
Boles ISD,1301,False
Bonham ISD,866,True
Bonneville Joint School District 93,1349,False
Boone Central Schools,103,False
Borden County ISD,1296,False
Borger ISD,904,True
Boscobel Area Schools,2023,False
Bosqueville ISD,1003,False
Bowie Independent School District,878,False
"Bowie-Cass Electric Cooperative, Inc.",830,False
Box Elder School District,1575,False
Boyceville Community School District,1606,False
Boyd ISD,1611,False
Boyne City Public Schools,965,True
Boys Ranch ISD,697,False
Brackett ISD,1723,False
Bradley County Schools,559,False
Brady Public Schools,78,False
Brandon School District,1633,False
Brandywine Community Schools,1034,False
Brazosport College,1854,False
Brazosport Independent School District,877,False
Breckenridge ISD,1647,True
Breckenridge Public Schools 846,1745,False
Brenham ISD,1856,False
Bridge City Independent School District,905,True
Bridge Creek Public Schools,530,True
Bridgeport ISD,647,True
Bridgeport Public Schools,2756,True
Bridgman Public Schools,1060,True
Brighton Area Schools,2615,True
Bristol Bay Borough School District,2140,False
Bristol Public Schools,2447,True
Broaddus ISD,2228,False
Brock ISD,803,True
Broken Bow Public Schools,147,False
Brookfield-LaGrange Park School District 95,1715,False
Brookings-Harbor School District 17C,1563,False
Brooklyn Center Schools,1769,False
Brooks,2026,False
Brooks County ISD,2016,False
Brookwood School District 167,1714,False
Brownfield ISD,674,True
Browning Public Schools,2060,False
Brownsboro ISD,1273,False
Brownsville ISD,2175,False
Brownwood Independent School District,988,False
Brush School District,3188,True
Bryan Independent School District,2246,False
BSSD - Unalakleet,2110,False
Buckholts Independent School District,2350,True
Buckley Schools,2599,True
Buena Vista ISD,712,True
Buffalo ISD,2545,True
Buffalo-Hanover-Montrose Schools,1209,False
Bullard Independent School District,2490,False
Buna Independent School District,820,False
Burkburnett Independent School District,1896,False
Burkeville ISD,1892,False
Burleson ISD,1384,False
Burlington Public Schools,burlington,False
Burlington USD #244,3199,True
BURNET CONSOLIDATED I.S.D.,1041,True
Burnham School District 154.5,2694,True
Burnsville-Eagan-Savage ISD 191,1113,False
Burton ISD,2593,True
Bushland ISD,1767,False
Byng Public Schools,364,False
Bynum ISD,2116,False
Byron Area Schools,1428,False
Byron Center Public Schools,930,True
C.O.O.R. Intermediate School District,1970,True
Cache Public Schools,224,False
Caddo Kiowa Technology Center,623,False
Caddo Mills ISD,669,True
Cahokia Unit School District 187,1497,False
Calallen ISD,934,True
Caldwell ISD,680,True
Calhoun County ISD,2207,False
Calhoun Intermediate School District,Calhoun,True
Callaway Public Schools,callaway,True
Callisburg ISD,2750,True
Cambridge-Isanti Schools,1122,True
Cameron ISD,1226,False
Canadian ISD,789,False
Cannon Valley Special Education Cooperative,1036,False
Canton ISD,2194,False
Canton Public Schools,501,False
Canton Union School District #66,1679,False
Canutillo ISD,864,True
Canyon ISD,788,True
Canyon-Owyhee School Service Agency,2093,False
Capitan Municipal Schools,1345,False
Carbon Cliff - Barstow School District 36,1712,False
Carlinville CUSD #1,1720,False
Carlisle ISD,762,False
Carlsbad Municipal Schools,2103,False
Carmel Clay Public Library,1885,False
Carrizo Springs C.I.S.D.,861,False
Carrollton Public Schools,2522,True
Carrollton-Farmers Branch ISD,631,True
Carson City-Crystal Area Schools,1068,False
Carthage ISD,1182,False
CASB Test School District,3084,True
Cascade School District #5,1572,True
Cass City Public Schools,2996,True
Castleberry Independent School District,1090,False
Catalina Foothills School District,1202,False
"CAVIAT (Coconino Association for Vocations, Industry and Technology)",1117,False
CCSD 89,1409,False
Cedar Hill ISD,1600,True
Cedar Mountain Schools - District 2754,2796,True
Cedar Springs Public Schools,1484,False
Celeste ISD,1411,False
Celina Independent School District,758,False
Centennial ISD 12,1528,False
Centennial Public School,84,False
Centennial School District,1561,False
Center Cass School District 66,1490,False
Center ISD,651,False
Center Point ISD,1923,False
Central Appraisal District of Taylor County,3190,True
Central Arizona Valley Institute of Technology,1801,True
Central Community College,CCC,True
Central CUSD 301,1311,True
Central Heights Independent School District,1517,False
Central High Public Schools,2176,True
Central ISD,2291,False
Central Point School District 6,1553,False
Central Public Schools,2403,True
Central School District 104,1243,True
Central School District 51,1507,False
Centreville Public Schools,1989,False
Centura Public Schools,centura,False
Century School District 100,2790,True
CESA 2,620,False
Channelview ISD,791,False
Chanute Public Schools USD 413,2345,False
Chapel Hill ISD -Titus County,1760,False
Chapel Hill ISD-Smith County,1759,False
Charlevoix-Emmet ISD,2499,True
Charlotte Public Schools,1031,False
Chase County Schools,111,False
Chatham School District,2647,True
Cheatham County Board of Education,cheathamcountyschools,True
Cheboygan Area Schools,3215,True
Chelsea School District,911,False
Cherokee Independent School District,1583,False
Cherokee Indian Hospital,2148,False
Chester ISD,2687,True
Cheylin USD 103,2572,True
Chickasha Public Schools,1910,True
Chico ISD,2255,False
Childress ISD,2242,False
Chilton ISD,1853,False
China Spring ISD,2238,False
Chisago Lakes School District 2144,1066,False
Chisholm Public Schools,617,False
Chisholm School District,840,False
Chisum ISD,2316,False
Chouteau-Mazie Public Schools,783,False
Christoval ISD,1754,False
Chugach School District,2598,True
Churchill County School District,1197,False
Cicero School District 99,1488,False
Cimarron Public School,2553,True
City of Auburn,2737,True
City of Bayard,170,False
City of Beatrice,Beatrice,False
City of Bellevue,Bellevue,False
City of Bennet,2724,True
City of Blair,Blair,True
City of Blue Hill,bluehill,True
City of Chadron,2736,True
City of Columbus,171,True
City of David City,1969,True
City of Fort Calhoun,fortcalhoun,True
City of Franklin,Franklin,True
City of Friend,Friend,True
City of Friona,2824,True
City of Gibbon,167,False
City of Gretna,Gretna,False
City of Hayden,2366,True
City of Hermantown,2639,True
City of Hickman,131,False
City of Imperial,Imperial,True
City of Karnes City,3006,True
City of Madison,2570,True
City of McCook,208,False
City of Ouray,2503,True
City of Seward,Seward,True
City of St. Paul,178,False
City of Stewartville,2080,False
City of Valley,2360,True
City of Wahoo,citywahoo,True
City of Wakefield,2560,True
City of Wakefield,Wakefield,True
City of Watford,2633,True
City of Waverly,Waverly,True
City of Waverly,694,False
City of York,169,False
City School District,581,True
City View ISD,2280,False
Clackamas Community College,1412,False
Clackamas Education Service District,1547,False
Clarksville ISD,731,True
Claude ISD,1169,False
Clayton School District,2057,False
Clear Creek ISD,1940,False
Cleburne Independent School District,1684,True
Cleveland City Schools,543,False
Cleveland ISD,1682,False
Cleveland Public School,2475,True
Clifton ISD,2177,False
Climax-Scotts Community Schools,2506,True
Climax-Shelly ISD 592,1831,False
Clint Independent School District,919,False
Clinton Community Schools,3191,True
Clinton County RESA,2714,True
Clinton Public Schools,2467,True
Clinton Public Schools,Clinton,True
Clio Area Schools,1481,False
Cloquet Public Schools,1149,False
Cloud County Community College,2656,True
Clyde CISD,661,False
Coahoma ISD,984,False
Coastal Bend College,2027,True
Coldspring-Oakhurst CISD,672,False
College of Lake County,2575,True
College of the Mainland,2271,False
Collierville Schools,564,False
Collin College,1010,False
Collinsville CUSD #10,1231,True
Collinsville ISD,2262,False
Collinsville Public Schools,Collinsville,False
Colorado Association of School Boards,casb,False
Colorado Association of School Boards,3185,True
Colorado ISD,2243,False
Columbia - Brazoria ISD,1290,False
Columbia Heights Public Schools,1211,False
Columbus Independent School District,1798,False
Columbus Public Schools,71,False
Comal ISD,1083,False
Comanche ISD,664,False
Comfort ISD,652,True
Commerce ISD,1127,False
Community Consolidated School District 180,1514,False
Community Consolidated School District 59,2677,True
Community Consolidated School District 93,1266,True
Community High School District 218,1717,False
Community High School District 94,1499,True
Community ISD,1208,False
Community Unit School District 300,1453,False
Como-Pickton CISD,2314,False
Comstock Public Schools,1037,True
Concept Schools - Horizon Science Academy Twin Cities,2626,True
Concept Schools - Minnesota Math and Science Academy,2355,True
Concord Community Schools,1623,False
Conestoga Public Schools,435,True
Connally ISD,690,False
Constantine Public Schools,2392,True
Consumer Bankers Association,2031,False
Cook County School District 104,1792,False
Cooper ISD,2277,False
Coppell Independent School District,1721,False
Copper Country ISD,2693,True
Copperas Cove Independent School District,665,True
Corbett School District,1554,True
Cordova School District,2046,True
CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,898,False
